model	encoder	prefix	source_cell_line	order_bucket	negative_type	auc	ap	n_positive	n_negative	n	mean_score
Comprehensive	sage	test	GM12878	3	CNS	0.36206153	0.41595617	2324865	2324893	4649758	0.5353963
Comprehensive	sage	test	GM12878	3	MNS	0.10949125	0.32085868	2324865	2324865	4649730	0.5641466
Comprehensive	sage	test	GM12878	3	SNS	0.085421453	0.31633348	2324865	2324865	4649730	0.5692184
Comprehensive	sage	test	GM12878	4	CNS	0.39736619	0.44418154	1399495	1399495	2798990	0.54833415
Comprehensive	sage	test	GM12878	4	MNS	0.12811901	0.32481005	1399495	1399495	2798990	0.57724644
Comprehensive	sage	test	GM12878	4	SNS	0.057796109	0.31153205	1399495	1399495	2798990	0.59226076
Comprehensive	sage	test	GM12878	5+	CNS	0.45672491	0.48183284	1751983	1751955	3503938	0.57744379
Comprehensive	sage	test	GM12878	5+	MNS	0.18777707	0.34112192	1751983	1751983	3503966	0.60396448
Comprehensive	sage	test	GM12878	5+	SNS	0.056910954	0.3114322	1751983	1751983	3503966	0.62788409
Comprehensive	sage	test	K562	3	CNS	0.38477187	0.42855001	1184599	1184674	2369273	0.53828635
Comprehensive	sage	test	K562	3	MNS	0.11470575	0.3218453	1184599	1184599	2369198	0.56815091
Comprehensive	sage	test	K562	3	SNS	0.09852624	0.31879043	1184599	1184599	2369198	0.57137347
Comprehensive	sage	test	K562	4	CNS	0.41609588	0.45427173	811797	811797	1623594	0.5522428
Comprehensive	sage	test	K562	4	MNS	0.13587338	0.32655312	811797	811797	1623594	0.58148658
Comprehensive	sage	test	K562	4	SNS	0.06820889	0.3130797	811797	811797	1623594	0.59471995
Comprehensive	sage	test	K562	5+	CNS	0.46667853	0.48742479	1406669	1406594	2813263	0.58555266
Comprehensive	sage	test	K562	5+	MNS	0.20284841	0.34568973	1406669	1406669	2813338	0.61152262
Comprehensive	sage	test	K562	5+	SNS	0.066659075	0.3128557	1406669	1406669	2813338	0.6346246
Comprehensive	sage	valid	GM12878	3	CNS	0.3440853	0.40590487	1657733	1657745	3315478	0.53414904
Comprehensive	sage	valid	GM12878	3	MNS	0.10306611	0.31959001	1657733	1657733	3315466	0.56238708
Comprehensive	sage	valid	GM12878	3	SNS	0.077868205	0.31508011	1657733	1657733	3315466	0.56798716
Comprehensive	sage	valid	GM12878	4	CNS	0.38149345	0.43493299	1031597	1031597	2063194	0.54680416
Comprehensive	sage	valid	GM12878	4	MNS	0.12175343	0.32334712	1031597	1031597	2063194	0.57526595
Comprehensive	sage	valid	GM12878	4	SNS	0.051871464	0.31077236	1031597	1031597	2063194	0.59092786
Comprehensive	sage	valid	GM12878	5+	CNS	0.44944848	0.47766085	1338502	1338490	2676992	0.57636255
Comprehensive	sage	valid	GM12878	5+	MNS	0.18598548	0.3405428	1338502	1338502	2677004	0.60240977
Comprehensive	sage	valid	GM12878	5+	SNS	0.053660862	0.31102044	1338502	1338502	2677004	0.62701751
Comprehensive	sage	valid	K562	3	CNS	0.37528893	0.42230876	865365	865398	1730763	0.53746269
Comprehensive	sage	valid	K562	3	MNS	0.11444372	0.32183607	865365	865365	1730730	0.56711529
Comprehensive	sage	valid	K562	3	SNS	0.093790276	0.31796335	865365	865365	1730730	0.57036635
Comprehensive	sage	valid	K562	4	CNS	0.41036011	0.45097189	588606	588606	1177212	0.55122121
Comprehensive	sage	valid	K562	4	MNS	0.13523677	0.32631076	588606	588606	1177212	0.58070236
Comprehensive	sage	valid	K562	4	SNS	0.06551921	0.31272234	588606	588606	1177212	0.59359394
Comprehensive	sage	valid	K562	5+	CNS	0.46619769	0.48726849	1013471	1013438	2026909	0.58454151
Comprehensive	sage	valid	K562	5+	MNS	0.20100685	0.34500412	1013471	1013471	2026942	0.61088674
Comprehensive	sage	valid	K562	5+	SNS	0.066542144	0.31286136	1013471	1013471	2026942	0.63344172
GM12878	sage	test_inter	K562	3	CNS	0.32553002	0.41158347	1184599	1184674	2369273	0.81658314
GM12878	sage	test_inter	K562	3	MNS	0.10759742	0.32014986	1184599	1184599	2369198	0.87108254
GM12878	sage	test_inter	K562	3	SNS	0.091119558	0.31709113	1184599	1184599	2369198	0.87386644
GM12878	sage	test_inter	K562	4	CNS	0.38464376	0.4462373	811797	811797	1623594	0.84982164
GM12878	sage	test_inter	K562	4	MNS	0.13503649	0.32642212	811797	811797	1623594	0.8982363
GM12878	sage	test_inter	K562	4	SNS	0.069044591	0.31314671	811797	811797	1623594	0.90524936
GM12878	sage	test_inter	K562	5+	CNS	0.44635939	0.48026592	1406669	1406594	2813263	0.90039298
GM12878	sage	test_inter	K562	5+	MNS	0.17961723	0.33850812	1406669	1406669	2813338	0.9349421
GM12878	sage	test_inter	K562	5+	SNS	0.05072919	0.31051563	1406669	1406669	2813338	0.94117402
