model	encoder	prefix	source_cell_line	span_bucket	negative_type	auc	ap	n_positive	n_negative	n	mean_score
Comprehensive	sage	test	GM12878	0-20	CNS	0.2403077	0.35406092	994547	994575	1989122	0.53289259
Comprehensive	sage	test	GM12878	0-20	MNS	0.037786088	0.31203896	994547	994547	1989094	0.56157609
Comprehensive	sage	test	GM12878	0-20	SNS	0.022036715	0.30991616	994547	994547	1989094	0.57099042
Comprehensive	sage	test	GM12878	101-250	CNS	0.44836551	0.42970785	1381030	1381030	2762060	0.55408045
Comprehensive	sage	test	GM12878	101-250	MNS	0.12585668	0.32683152	1381030	1381030	2762060	0.58187438
Comprehensive	sage	test	GM12878	101-250	SNS	0.060710404	0.31564825	1381030	1381030	2762060	0.59738128
Comprehensive	sage	test	GM12878	21-100	CNS	0.24227616	0.35401309	1946698	1946698	3893396	0.53927715
Comprehensive	sage	test	GM12878	21-100	MNS	0.050297278	0.31286963	1946698	1946698	3893396	0.56751924
Comprehensive	sage	test	GM12878	21-100	SNS	0.02585665	0.30993628	1946698	1946698	3893396	0.58109094
Comprehensive	sage	test	GM12878	251+	CNS	0.79664242	0.7215989	1154068	1154040	2308108	0.58817067
Comprehensive	sage	test	GM12878	251+	MNS	0.44619072	0.4413873	1154068	1154068	2308136	0.61579195
Comprehensive	sage	test	GM12878	251+	SNS	0.28087527	0.36614953	1154068	1154068	2308136	0.63096569
Comprehensive	sage	test	K562	0-20	CNS	0.25350356	0.35761549	490435	490510	980945	0.53617739
Comprehensive	sage	test	K562	0-20	MNS	0.038286483	0.31195597	490435	490435	980870	0.56549469
Comprehensive	sage	test	K562	0-20	SNS	0.026073436	0.31049028	490435	490435	980870	0.57400331
Comprehensive	sage	test	K562	101-250	CNS	0.42794414	0.42148592	925009	925009	1850018	0.56113285
Comprehensive	sage	test	K562	101-250	MNS	0.12520112	0.32603526	925009	925009	1850018	0.58887305
Comprehensive	sage	test	K562	101-250	SNS	0.063683456	0.31583472	925009	925009	1850018	0.60476391
Comprehensive	sage	test	K562	21-100	CNS	0.25354598	0.35742934	1113404	1113404	2226808	0.54495656
Comprehensive	sage	test	K562	21-100	MNS	0.055596027	0.31336684	1113404	1113404	2226808	0.57308014
Comprehensive	sage	test	K562	21-100	SNS	0.030692017	0.31051107	1113404	1113404	2226808	0.5870221
Comprehensive	sage	test	K562	251+	CNS	0.76131056	0.68784467	874217	874142	1748359	0.59581533
Comprehensive	sage	test	K562	251+	MNS	0.42058593	0.42904775	874217	874217	1748434	0.62360829
Comprehensive	sage	test	K562	251+	SNS	0.26960866	0.3625344	874217	874217	1748434	0.63809211
Comprehensive	sage	valid	GM12878	0-20	CNS	0.23771386	0.35329497	713816	713828	1427644	0.53233135
Comprehensive	sage	valid	GM12878	0-20	MNS	0.039325276	0.31226671	713816	713816	1427632	0.56055073
Comprehensive	sage	valid	GM12878	0-20	SNS	0.02179507	0.30987524	713816	713816	1427632	0.57060039
Comprehensive	sage	valid	GM12878	101-250	CNS	0.44138542	0.4269252	1037579	1037579	2075158	0.55414187
Comprehensive	sage	valid	GM12878	101-250	MNS	0.12753579	0.32711219	1037579	1037579	2075158	0.58144756
Comprehensive	sage	valid	GM12878	101-250	SNS	0.05890621	0.31534199	1037579	1037579	2075158	0.59781966
Comprehensive	sage	valid	GM12878	21-100	CNS	0.23786365	0.35269838	1479259	1479259	2958518	0.5386742
Comprehensive	sage	valid	GM12878	21-100	MNS	0.050961916	0.31295703	1479259	1479259	2958518	0.56651009
Comprehensive	sage	valid	GM12878	21-100	SNS	0.025175369	0.30985076	1479259	1479259	2958518	0.58080321
Comprehensive	sage	valid	GM12878	251+	CNS	0.79161303	0.71740822	797178	797166	1594344	0.58861313
Comprehensive	sage	valid	GM12878	251+	MNS	0.44781165	0.44185116	797178	797178	1594356	0.61543887
Comprehensive	sage	valid	GM12878	251+	SNS	0.26954961	0.36233976	797178	797178	1594356	0.63183799
Comprehensive	sage	valid	K562	0-20	CNS	0.26170705	0.35999655	350651	350684	701335	0.53592989
Comprehensive	sage	valid	K562	0-20	MNS	0.044533994	0.3131474	350651	350651	701302	0.56536224
Comprehensive	sage	valid	K562	0-20	SNS	0.027783207	0.31081809	350651	350651	701302	0.57322327
Comprehensive	sage	valid	K562	101-250	CNS	0.42363772	0.41962425	704897	704897	1409794	0.56000114
Comprehensive	sage	valid	K562	101-250	MNS	0.12777336	0.32686988	704897	704897	1409794	0.58784785
Comprehensive	sage	valid	K562	101-250	SNS	0.06226073	0.31563697	704897	704897	1409794	0.60327994
Comprehensive	sage	valid	K562	21-100	CNS	0.2462834	0.35523139	795906	795906	1591812	0.5433683
Comprehensive	sage	valid	K562	21-100	MNS	0.055600138	0.31356208	795906	795906	1591812	0.57211371
Comprehensive	sage	valid	K562	21-100	SNS	0.029755309	0.31038923	795906	795906	1591812	0.58496485
Comprehensive	sage	valid	K562	251+	CNS	0.7623216	0.68876844	615988	615955	1231943	0.59551789
Comprehensive	sage	valid	K562	251+	MNS	0.42226478	0.42920902	615988	615988	1231976	0.62292873
Comprehensive	sage	valid	K562	251+	SNS	0.26234677	0.3602793	615988	615988	1231976	0.63818479
GM12878	sage	test_inter	K562	0-20	CNS	0.014642897	0.30892582	490435	490510	980945	0.71326779
GM12878	sage	test_inter	K562	0-20	MNS	0.00016967632	0.30687291	490435	490435	980870	0.76520347
GM12878	sage	test_inter	K562	0-20	SNS	0.00022624334	0.30688367	490435	490435	980870	0.76995384
GM12878	sage	test_inter	K562	101-250	CNS	0.46774455	0.43419005	925009	925009	1850018	0.91491745
GM12878	sage	test_inter	K562	101-250	MNS	0.087500726	0.32195335	925009	925009	1850018	0.95807375
GM12878	sage	test_inter	K562	101-250	SNS	0.025336421	0.31095815	925009	925009	1850018	0.96353454
GM12878	sage	test_inter	K562	21-100	CNS	0.14558493	0.33313713	1113404	1113404	2226808	0.8040703
GM12878	sage	test_inter	K562	21-100	MNS	0.01110285	0.3083733	1113404	1113404	2226808	0.85094954
GM12878	sage	test_inter	K562	21-100	SNS	0.003984009	0.30742354	1113404	1113404	2226808	0.85682106
GM12878	sage	test_inter	K562	251+	CNS	0.80907411	0.72567191	874217	874142	1748359	0.95215857
GM12878	sage	test_inter	K562	251+	MNS	0.42176344	0.42582317	874217	874217	1748434	0.99204531
GM12878	sage	test_inter	K562	251+	SNS	0.23462451	0.35271649	874217	874217	1748434	0.99643656
GM12878	sage	test_intra	GM12878	0-20	CNS	0.013619566	0.30875184	994547	994575	1989122	0.71102332
GM12878	sage	test_intra	GM12878	0-20	MNS	0.0002158342	0.30687725	994547	994547	1989094	0.76388786
GM12878	sage	test_intra	GM12878	0-20	SNS	0.00019169403	0.30687811	994547	994547	1989094	0.76938678
GM12878	sage	test_intra	GM12878	101-250	CNS	0.49712752	0.44731181	1381030	1381030	2762060	0.90970444
GM12878	sage	test_intra	GM12878	101-250	MNS	0.097253064	0.3239108	1381030	1381030	2762060	0.95613478
GM12878	sage	test_intra	GM12878	101-250	SNS	0.029756936	0.31168241	1381030	1381030	2762060	0.96226598
GM12878	sage	test_intra	GM12878	21-100	CNS	0.15249535	0.33444228	1946698	1946698	3893396	0.79816184
GM12878	sage	test_intra	GM12878	21-100	MNS	0.012655401	0.30859375	1946698	1946698	3893396	0.84779017
GM12878	sage	test_intra	GM12878	21-100	SNS	0.0043988567	0.30747581	1946698	1946698	3893396	0.85411274
GM12878	sage	test_intra	GM12878	251+	CNS	0.83668377	0.75693417	1154068	1154040	2308108	0.94626367
GM12878	sage	test_intra	GM12878	251+	MNS	0.45008221	0.44050508	1154068	1154068	2308136	0.99047846
GM12878	sage	test_intra	GM12878	251+	SNS	0.25546821	0.3591307	1154068	1154068	2308136	0.99584497
GM12878	sage	valid	GM12878	0-20	CNS	0.011837276	0.30849902	713816	713828	1427644	0.71327754
GM12878	sage	valid	GM12878	0-20	MNS	0.00020388541	0.30687665	713816	713816	1427632	0.7637459
GM12878	sage	valid	GM12878	0-20	SNS	0.00018632478	0.3068764	713816	713816	1427632	0.76943207
GM12878	sage	valid	GM12878	101-250	CNS	0.48510604	0.44193324	1037579	1037579	2075158	0.91150942
GM12878	sage	valid	GM12878	101-250	MNS	0.097436104	0.32388783	1037579	1037579	2075158	0.95553495
GM12878	sage	valid	GM12878	101-250	SNS	0.028116752	0.31139986	1037579	1037579	2075158	0.9618608
GM12878	sage	valid	GM12878	21-100	CNS	0.14291006	0.33232871	1479259	1479259	2958518	0.80070786
GM12878	sage	valid	GM12878	21-100	MNS	0.012484448	0.3085684	1479259	1479259	2958518	0.84824209
GM12878	sage	valid	GM12878	21-100	SNS	0.0044157449	0.3074814	1479259	1479259	2958518	0.85471104
GM12878	sage	valid	GM12878	251+	CNS	0.83412085	0.75564364	797178	797166	1594344	0.94962011
GM12878	sage	valid	GM12878	251+	MNS	0.45137695	0.44061866	797178	797178	1594356	0.99043019
GM12878	sage	valid	GM12878	251+	SNS	0.24175697	0.35470912	797178	797178	1594356	0.99599631
K562	sage	test_inter	GM12878	0-20	CNS	0.06213976	0.31507498	994547	994575	1989122	0.54509882
K562	sage	test_inter	GM12878	0-20	MNS	0.0039011752	0.30720483	994547	994547	1989094	0.60279086
K562	sage	test_inter	GM12878	0-20	SNS	0.0023279195	0.30709828	994547	994547	1989094	0.61977523
K562	sage	test_inter	GM12878	101-250	CNS	0.48503112	0.44207942	1381030	1381030	2762060	0.59027332
K562	sage	test_inter	GM12878	101-250	MNS	0.10125606	0.32432506	1381030	1381030	2762060	0.6462578
K562	sage	test_inter	GM12878	101-250	SNS	0.036578754	0.31276647	1381030	1381030	2762060	0.67354599
K562	sage	test_inter	GM12878	21-100	CNS	0.17036401	0.33709453	1946698	1946698	3893396	0.5587351
K562	sage	test_inter	GM12878	21-100	MNS	0.018208469	0.30915775	1946698	1946698	3893396	0.61561703
K562	sage	test_inter	GM12878	21-100	SNS	0.0078278802	0.3078985	1946698	1946698	3893396	0.63973001
K562	sage	test_inter	GM12878	251+	CNS	0.83074008	0.75060125	1154068	1154040	2308108	0.65852375
K562	sage	test_inter	GM12878	251+	MNS	0.44942362	0.4402134	1154068	1154068	2308136	0.71402519
K562	sage	test_inter	GM12878	251+	SNS	0.26278468	0.36061497	1154068	1154068	2308136	0.74049929
K562	sage	test_intra	K562	0-20	CNS	0.068880104	0.31603331	490435	490510	980945	0.54663556
K562	sage	test_intra	K562	0-20	MNS	0.0039640212	0.30718663	490435	490435	980870	0.60538478
K562	sage	test_intra	K562	0-20	SNS	0.0028134093	0.30714436	490435	490435	980870	0.62101516
K562	sage	test_intra	K562	101-250	CNS	0.45521319	0.42880362	925009	925009	1850018	0.59588285
K562	sage	test_intra	K562	101-250	MNS	0.092487251	0.32238126	925009	925009	1850018	0.65151241
K562	sage	test_intra	K562	101-250	SNS	0.033276278	0.31217956	925009	925009	1850018	0.67959569
K562	sage	test_intra	K562	21-100	CNS	0.17099806	0.33708423	1113404	1113404	2226808	0.56287658
K562	sage	test_intra	K562	21-100	MNS	0.01808295	0.30904225	1113404	1113404	2226808	0.61932818
K562	sage	test_intra	K562	21-100	SNS	0.0081913118	0.3079264	1113404	1113404	2226808	0.64432797
K562	sage	test_intra	K562	251+	CNS	0.8014912	0.71845077	874217	874142	1748359	0.66676902
K562	sage	test_intra	K562	251+	MNS	0.42142006	0.42583798	874217	874217	1748434	0.72214979
K562	sage	test_intra	K562	251+	SNS	0.24388189	0.35469295	874217	874217	1748434	0.74753222
K562	sage	valid	K562	0-20	CNS	0.057445959	0.31431283	350651	350684	701335	0.54623595
K562	sage	valid	K562	0-20	MNS	0.0035698011	0.30716522	350651	350651	701302	0.60515116
K562	sage	valid	K562	0-20	SNS	0.0024111282	0.30709985	350651	350651	701302	0.61969257
K562	sage	valid	K562	101-250	CNS	0.44640645	0.42512281	704897	704897	1409794	0.59556527
K562	sage	valid	K562	101-250	MNS	0.094266002	0.32280107	704897	704897	1409794	0.65139065
K562	sage	valid	K562	101-250	SNS	0.033097429	0.31214823	704897	704897	1409794	0.67888185
K562	sage	valid	K562	21-100	CNS	0.16027728	0.33478975	795906	795906	1591812	0.56201786
K562	sage	valid	K562	21-100	MNS	0.017476232	0.30903302	795906	795906	1591812	0.61966632
K562	sage	valid	K562	21-100	SNS	0.0080835267	0.30792839	795906	795906	1591812	0.64282919
K562	sage	valid	K562	251+	CNS	0.80445809	0.72275909	615988	615955	1231943	0.66585259
K562	sage	valid	K562	251+	MNS	0.42219475	0.42579591	615988	615988	1231976	0.72056812
K562	sage	valid	K562	251+	SNS	0.23551665	0.3522244	615988	615988	1231976	0.74741754
