target_gene	sample_name	loci	order	replicate_count	mean_log2_fc	sd_log2_fc	min_log2_fc	max_log2_fc
MYB	A-sg1 & C-sg1	A;C	2	9	-2.3774	0.0984	-2.5368	-2.2688
MYB	A-sg1 & C-sg2	A;C	2	9	-2.9270	0.1529	-3.1450	-2.6583
MYB	A-sg1 & C-sg3	A;C	2	9	-3.0592	0.1248	-3.2347	-2.8798
MYB	A-sg2 & C-sg1	A;C	2	9	-3.4992	0.2269	-3.8041	-3.1679
MYB	A-sg2 & C-sg2	A;C	2	9	-3.4771	0.1432	-3.6624	-3.3087
MYB	A-sg2 & C-sg3	A;C	2	9	-5.1018	0.1484	-5.3066	-4.8408
MYB	A-sg3 & C-sg1	A;C	2	9	-3.0629	0.2092	-3.4385	-2.8105
MYB	A-sg3 & C-sg2	A;C	2	9	-3.7101	0.1369	-3.9908	-3.5721
MYB	A-sg3 & C-sg3	A;C	2	9	-3.4251	0.2803	-3.8824	-3.0753
MYB	B-sg1 & C-sg1	B;C	2	9	-3.4054	0.1617	-3.5905	-3.1577
MYB	B-sg1 & C-sg2	B;C	2	9	-3.9471	0.1637	-4.1175	-3.6843
MYB	B-sg1 & C-sg3	B;C	2	9	-1.9695	0.3013	-2.5296	-1.6438
MYB	B-sg2 & C-sg1	B;C	2	9	-3.5306	0.2804	-3.8354	-3.0179
MYB	B-sg2 & C-sg2	B;C	2	9	-5.3494	0.2823	-5.7379	-5.0502
MYB	B-sg2 & C-sg3	B;C	2	9	-3.9050	0.2445	-4.2031	-3.5183
MYB	B-sg3 & C-sg1	B;C	2	9	-4.8020	0.2234	-5.0502	-4.4472
MYB	B-sg3 & C-sg2	B;C	2	9	-1.5648	0.2761	-1.9908	-1.2994
MYB	B-sg3 & C-sg3	B;C	2	9	-3.8678	0.2599	-4.4995	-3.5696
MYB	A-sg1 & B-sg1	A;B	2	9	-0.7846	0.2380	-1.2186	-0.3109
MYB	A-sg1 & B-sg2	A;B	2	9	-1.0918	0.1755	-1.3463	-0.8905
MYB	A-sg1 & B-sg3	A;B	2	9	-1.0776	0.4307	-1.8449	-0.3998
