target_gene	sample_name	loci	observed_mean_log2_fc	additive_expected_log2_fc	synergy_delta_log2_fc	single_locus_terms	interpretation
MYB	A-sg1 & C-sg1	A;C	-2.3774	-2.8801	0.5027	A=-0.8204;C=-2.0597	weaker_than_additive_repression
MYB	A-sg1 & C-sg2	A;C	-2.9270	-2.8801	-0.0469	A=-0.8204;C=-2.0597	stronger_than_additive_repression
MYB	A-sg1 & C-sg3	A;C	-3.0592	-2.8801	-0.1791	A=-0.8204;C=-2.0597	stronger_than_additive_repression
MYB	A-sg2 & C-sg1	A;C	-3.4992	-2.8801	-0.6191	A=-0.8204;C=-2.0597	stronger_than_additive_repression
MYB	A-sg2 & C-sg2	A;C	-3.4771	-2.8801	-0.5970	A=-0.8204;C=-2.0597	stronger_than_additive_repression
MYB	A-sg2 & C-sg3	A;C	-5.1018	-2.8801	-2.2217	A=-0.8204;C=-2.0597	stronger_than_additive_repression
MYB	A-sg3 & C-sg1	A;C	-3.0629	-2.8801	-0.1828	A=-0.8204;C=-2.0597	stronger_than_additive_repression
MYB	A-sg3 & C-sg2	A;C	-3.7101	-2.8801	-0.8300	A=-0.8204;C=-2.0597	stronger_than_additive_repression
MYB	A-sg3 & C-sg3	A;C	-3.4251	-2.8801	-0.5450	A=-0.8204;C=-2.0597	stronger_than_additive_repression
MYB	B-sg1 & C-sg1	B;C	-3.4054	-3.3881	-0.0174	B=-1.3283;C=-2.0597	stronger_than_additive_repression
MYB	B-sg1 & C-sg2	B;C	-3.9471	-3.3881	-0.5590	B=-1.3283;C=-2.0597	stronger_than_additive_repression
MYB	B-sg1 & C-sg3	B;C	-1.9695	-3.3881	1.4186	B=-1.3283;C=-2.0597	weaker_than_additive_repression
MYB	B-sg2 & C-sg1	B;C	-3.5306	-3.3881	-0.1426	B=-1.3283;C=-2.0597	stronger_than_additive_repression
MYB	B-sg2 & C-sg2	B;C	-5.3494	-3.3881	-1.9613	B=-1.3283;C=-2.0597	stronger_than_additive_repression
MYB	B-sg2 & C-sg3	B;C	-3.9050	-3.3881	-0.5169	B=-1.3283;C=-2.0597	stronger_than_additive_repression
MYB	B-sg3 & C-sg1	B;C	-4.8020	-3.3881	-1.4140	B=-1.3283;C=-2.0597	stronger_than_additive_repression
MYB	B-sg3 & C-sg2	B;C	-1.5648	-3.3881	1.8233	B=-1.3283;C=-2.0597	weaker_than_additive_repression
MYB	B-sg3 & C-sg3	B;C	-3.8678	-3.3881	-0.4798	B=-1.3283;C=-2.0597	stronger_than_additive_repression
MYB	A-sg1 & B-sg1	A;B	-0.7846	-2.1487	1.3641	A=-0.8204;B=-1.3283	weaker_than_additive_repression
MYB	A-sg1 & B-sg2	A;B	-1.0918	-2.1487	1.0569	A=-0.8204;B=-1.3283	weaker_than_additive_repression
MYB	A-sg1 & B-sg3	A;B	-1.0776	-2.1487	1.0711	A=-0.8204;B=-1.3283	weaker_than_additive_repression
MYB	A-sg2 & B-sg1	A;B	-1.6162	-2.1487	0.5325	A=-0.8204;B=-1.3283	weaker_than_additive_repression
MYB	A-sg2 & B-sg2	A;B	-1.5100	-2.1487	0.6386	A=-0.8204;B=-1.3283	weaker_than_additive_repression
MYB	A-sg2 & B-sg3	A;B	-1.9132	-2.1487	0.2355	A=-0.8204;B=-1.3283	weaker_than_additive_repression
MYB	A-sg3 & B-sg1	A;B	-0.9634	-2.1487	1.1853	A=-0.8204;B=-1.3283	weaker_than_additive_repression
MYB	A-sg3 & B-sg2	A;B	-1.1687	-2.1487	0.9800	A=-0.8204;B=-1.3283	weaker_than_additive_repression
MYB	A-sg3 & B-sg3	A;B	-1.2779	-2.1487	0.8708	A=-0.8204;B=-1.3283	weaker_than_additive_repression
ADAMTS14	A-sg1 & B-sg1	A;B	-0.4283	-1.2900	0.8617	A=-0.7073;B=-0.5827	weaker_than_additive_repression
ADAMTS14	A-sg1 & B-sg2	A;B	0.3186	-1.2900	1.6086	A=-0.7073;B=-0.5827	weaker_than_additive_repression
ADAMTS14	A-sg1 & B-sg3	A;B	-0.6833	-1.2900	0.6067	A=-0.7073;B=-0.5827	weaker_than_additive_repression
ADAMTS14	A-sg2 & B-sg1	A;B	-0.2919	-1.2900	0.9982	A=-0.7073;B=-0.5827	weaker_than_additive_repression
ADAMTS14	A-sg2 & B-sg2	A;B	-2.6072	-1.2900	-1.3172	A=-0.7073;B=-0.5827	stronger_than_additive_repression
ADAMTS14	A-sg2 & B-sg3	A;B	-1.3026	-1.2900	-0.0125	A=-0.7073;B=-0.5827	stronger_than_additive_repression
ADAMTS14	A-sg3 & B-sg1	A;B	-1.4728	-1.2900	-0.1828	A=-0.7073;B=-0.5827	stronger_than_additive_repression
ADAMTS14	A-sg3 & B-sg2	A;B	0.1192	-1.2900	1.4092	A=-0.7073;B=-0.5827	weaker_than_additive_repression
ADAMTS14	A-sg3 & B-sg3	A;B	0.5705	-1.2900	1.8605	A=-0.7073;B=-0.5827	weaker_than_additive_repression
