antecedent	consequent	support	confidence	count	transaction_total
C	TSS	0.0077994082	1	1252	160525
TSS	C	0.0077994082	0.0077994082	1252	160525
B	TSS	0.0077121944	1	1238	160525
TSS	B	0.0077121944	0.0077121944	1238	160525
A	TSS	0.0076997352	1	1236	160525
TSS	A	0.0076997352	0.0076997352	1236	160525
A	C	2.4918237e-05	0.003236246	4	160525
A	B	2.4918237e-05	0.003236246	4	160525
B	C	2.4918237e-05	0.0032310178	4	160525
B	A	2.4918237e-05	0.0032310178	4	160525
C	B	2.4918237e-05	0.0031948882	4	160525
C	A	2.4918237e-05	0.0031948882	4	160525
