antecedent	consequent	support	confidence	count	transaction_total
TSS	B	0.0002533035	0.068807339	30	118435
B	TSS	0.0002533035	0.06741573	30	118435
B	A	0.0002364166	0.062921348	28	118435
A	B	0.0002364166	0.056338028	28	118435
TSS	A	0.0001857559	0.050458716	22	118435
A	TSS	0.0001857559	0.044265594	22	118435
TSS	C	0.0001350952	0.036697248	16	118435
B	C	0.0001350952	0.035955056	16	118435
C	TSS	0.0001350952	0.029684601	16	118435
C	B	0.0001350952	0.029684601	16	118435
A	C	0.00012665175	0.030181087	15	118435
C	A	0.00012665175	0.027829314	15	118435
