sample_method	threshold	pass_count	total_count	pass_fraction	mean_score	max_score
random_choice	0.5	48885	2000000	0.0244425	0.13963533	0.98886323
random_choice	0.6	21446	2000000	0.010723	0.13963533	0.98886323
random_choice	0.7	8874	2000000	0.004437	0.13963533	0.98886323
random_choice	0.8	2933	2000000	0.0014665	0.13963533	0.98886323
random_choice	0.88	916	2000000	0.000458	0.13963533	0.98886323
random_choice	0.9	596	2000000	0.000298	0.13963533	0.98886323
random_choice	0.95	165	2000000	8.25e-05	0.13963533	0.98886323
random_walk	0.5	1674870	2000000	0.837435	0.69800222	0.9909277
random_walk	0.6	1488573	2000000	0.7442865	0.69800222	0.9909277
random_walk	0.7	1198221	2000000	0.5991105	0.69800222	0.9909277
random_walk	0.8	775472	2000000	0.387736	0.69800222	0.9909277
random_walk	0.88	374864	2000000	0.187432	0.69800222	0.9909277
random_walk	0.9	277854	2000000	0.138927	0.69800222	0.9909277
random_walk	0.95	76018	2000000	0.038009	0.69800222	0.9909277
