model	prefix	negative_type	seed1_auc	seed2_auc	delta_auc	seed1_ap	seed2_ap	delta_ap	n_positive	n_negative
GM12878	test	CNS	0.647124	0.647147	+0.000023	0.857097	0.857318	+0.000221	5476343	1825488
GM12878	test	MNS	0.877038	0.877159	+0.000121	0.956649	0.956717	+0.000068	5476343	1825423
GM12878	test	SNS	0.936592	0.936591	-0.000001	0.978761	0.978740	-0.000021	5476343	1825423
GM12878	train	CNS	0.654657	0.655293	+0.000636	0.860103	0.860780	+0.000677	523262	175034
GM12878	train	MNS	0.878270	0.876704	-0.001566	0.956703	0.955661	-0.001042	523262	174459
GM12878	train	SNS	0.937068	0.934722	-0.002346	0.978533	0.976964	-0.001569	523262	174970
GM12878	valid	CNS	0.661778	0.661788	+0.000010	0.864110	0.864082	-0.000028	4027832	1342629
GM12878	valid	MNS	0.881947	0.882228	+0.000281	0.958304	0.958453	+0.000149	4027832	1342599
GM12878	valid	SNS	0.943119	0.942887	-0.000232	0.980930	0.980817	-0.000113	4027832	1342599
K562	test	CNS	0.618204	0.618379	+0.000175	0.841077	0.841240	+0.000163	3403065	1134369
K562	test	MNS	0.865215	0.865360	+0.000145	0.951789	0.951842	+0.000053	3403065	1134334
K562	test	SNS	0.930930	0.930593	-0.000337	0.976531	0.976316	-0.000215	3403065	1134334
K562	train	CNS	0.638025	0.639278	+0.001253	0.851585	0.852108	+0.000523	389189	129498
K562	train	MNS	0.865708	0.862808	-0.002900	0.951460	0.949377	-0.002083	389189	129506
K562	train	SNS	0.931625	0.927403	-0.004222	0.976563	0.973987	-0.002576	389189	130047
K562	valid	CNS	0.625642	0.625457	-0.000185	0.845433	0.845438	+0.000005	2467442	822490
K562	valid	MNS	0.866603	0.867095	+0.000492	0.951953	0.952226	+0.000273	2467442	822470
K562	valid	SNS	0.934600	0.934282	-0.000318	0.977797	0.977656	-0.000141	2467442	822470
Comprehensive	test	CNS	0.635527	0.635974	+0.000447	0.850744	0.851039	+0.000295	8879408	2959857
Comprehensive	test	MNS	0.872736	0.872160	-0.000576	0.954874	0.954673	-0.000201	8879408	2959757
Comprehensive	test	SNS	0.934269	0.934296	+0.000027	0.977829	0.977827	-0.000002	8879408	2959757
Comprehensive	train	CNS	0.643924	0.643680	-0.000244	0.854325	0.854395	+0.000070	902064	301216
Comprehensive	train	MNS	0.872559	0.871262	-0.001297	0.954403	0.953723	-0.000680	902064	300797
Comprehensive	train	SNS	0.932034	0.930334	-0.001700	0.976765	0.975682	-0.001083	902064	300598
Comprehensive	valid	CNS	0.647618	0.647907	+0.000289	0.856838	0.856917	+0.000079	6495274	2165119
Comprehensive	valid	MNS	0.876380	0.875985	-0.000395	0.955995	0.955911	-0.000084	6495274	2165069
Comprehensive	valid	SNS	0.939747	0.939642	-0.000105	0.979671	0.979644	-0.000027	6495274	2165069
