cancer,name,n_tumor,n_normal,log2FC,FC,p,fdr,tumor_mean,normal_mean,rank_by_lfc,n_genes,sig_up,sig_dn
THCA,甲状腺癌,505,59,1.4906211847625386,2.8100994424762753,3.3458070846582398e-15,1.8032659562591702e-14,11.141078811881187,9.650457627118648,604,18605,1120,1480
KIRC,肾透明细胞癌,533,72,1.3244419194288106,2.504359923355292,9.828093807137255e-20,3.438466554396954e-19,13.155526641651033,11.831084722222222,1659,18875,2362,2577
READ,直肠癌,94,10,0.7886155319148891,1.7274159692451527,0.005366736020719364,0.012518586882142484,11.70422553191489,10.915610000000001,2395,18682,1571,3241
KIRP,肾乳头状癌,290,32,0.7216018749999993,1.649011974365081,0.008141869927355112,0.012499800306059801,12.34228,11.620678125000001,2521,18750,1537,3104
PAAD,胰腺癌,178,4,0.715138202247191,1.64164047021363,0.18698334847386444,0.6021830707230861,13.424938202247192,12.709800000000001,1984,19307,0,1
HNSC,头颈鳞癌,520,44,0.5550216608391612,1.469190691761541,0.03977808295287677,0.05961194278431513,10.400067115384616,9.845045454545454,3218,18905,1445,2086
STAD,胃癌,415,35,0.5540178313253001,1.468168782095899,0.011418929415633751,0.02271594012806337,12.620477831325301,12.066460000000001,3767,19191,1505,1792
BRCA,乳腺癌,1097,114,0.45122303411217324,1.3671987983401646,3.107293598339266e-05,4.709437176115321e-05,10.4401967183227,9.988973684210526,4050,18839,1412,2813
PRAD,前列腺癌,497,52,0.3210359735335082,1.2492272746888131,0.054874306406449906,0.07758335632647559,12.681626358148893,12.360590384615385,3827,18780,656,1733
COAD,结肠癌,286,41,0.25873752345215806,1.196431270849783,0.05106380291366857,0.0642606863563855,11.48736923076923,11.228631707317072,5939,18640,1562,3235
CHOL,胆管癌,36,9,-0.05229444444444198,0.9644013366106312,0.831471939952311,0.8648424815430461,12.947472222222224,12.999766666666666,12104,18572,4354,2598
ESCA,食管癌,184,11,-0.15036808300395066,0.9010205507770259,0.9189561098889564,0.9442345201332044,11.530722826086958,11.681090909090909,11884,19237,1776,2004
LIHC,肝癌,371,50,-0.8363350242587586,0.5600645331813381,4.2293033139755187e-07,1.2010722223847855e-06,12.66657897574124,13.502913999999999,15715,18286,1613,2061
LUAD,肺腺癌,515,59,-1.0363291920355433,0.48756646587008046,4.883606938024488e-16,2.1354567701331443e-15,13.092643689320388,14.128972881355931,16289,18807,1805,2612
BLCA,膀胱癌,407,19,-1.1651080822449238,0.4459308507001751,0.014759711275430076,0.029686769796040985,11.547865601965603,12.712973684210526,16443,18804,1576,2686
KICH,肾嫌色细胞癌,66,25,-1.8147971515151529,0.28424420633073194,3.9776345785368545e-10,2.6235375153882943e-09,9.901034848484848,11.715832,16515,18808,1315,4380
UCEC,子宫内膜癌,176,24,-2.571259848484848,0.16825720057990506,9.994381897636726e-12,1.3793121800524032e-10,11.287794318181819,13.859054166666667,18087,18921,2270,3228
LUSC,肺鳞癌,502,51,-2.675743203655964,0.15650241191604475,1.6535202197367344e-27,1.8565806874993363e-26,11.73413326693227,14.409876470588234,18087,19054,2689,3670
