gene,rho_tcga,rho_adj_purity,rho_ccle,p_ccle,n_ccle,fdr_ccle
RNASET2,0.2701719205757666,0.2428912113440776,0.48562834224598933,0.004171209741552075,33,0.23675567689776963
BSPRY,-0.2420939401593661,-0.1895647643601131,0.46590909090909094,0.006283112466521836,33,0.23675567689776963
FOXL1,0.4282503740616761,0.4358168925790838,0.46223262032085566,0.0067643012642415005,33,0.23675567689776963
NFE2L3,0.3114134107218365,0.2184673507539672,0.44184491978609625,0.010042746174787707,33,0.23675567689776963
SERPINE1,0.468258866994968,0.4290935833479111,0.4375,0.010892709577470832,33,0.23675567689776963
NLGN4Y,0.1412126737413297,0.1200901616681669,0.4260853255932346,0.013419850765924425,33,0.23675567689776963
CHST1,0.216766046611889,0.1765010707006625,0.4242728421681435,0.013863186413256295,33,0.23675567689776963
KDELR3,0.3205027801024551,0.2403787131429207,0.42065680768577757,0.014784445950603938,33,0.23675567689776963
LOX,0.4310288037192832,0.3962972910526307,0.41778074866310166,0.015553292642919173,33,0.23675567689776963
TMEM44,0.3609824112735232,0.337300755895158,0.3933823529411765,0.023521148286754834,33,0.27000529978305937
C1QL1,0.3183459690754834,0.2905065004530121,0.393048128342246,0.023650099251070894,33,0.27000529978305937
NBL1,0.226822331276879,0.1991436316295466,0.37155273793259325,0.03325510558328022,33,0.31616563526110825
C5orf46,0.2799678967028209,0.2509110265064033,0.368932555711529,0.034616675393551996,33,0.31616563526110825
SPOCK1,0.2809956063603167,0.2391826674658669,0.34592245989304815,0.04862027000425848,33,0.4163110619114633
TOX3,-0.1943104551172649,-0.1318726821330743,0.3196255611605557,0.0697996480405595,33,0.46271734373182843
AQP9,0.4042193837520516,0.3377049076793732,0.3180673520915824,0.07125047965362716,33,0.46271734373182843
DMBT1,0.4031247385698268,0.3956593953402005,0.3148658822725487,0.07430497490584106,33,0.46271734373182843
PPEF1,0.2374617210244927,0.1730397336516217,0.2882494831829642,0.1037882209184082,33,0.5426140120109609
PRIMA1,0.3555993360959613,0.3204827979059259,0.2845901791290627,0.10844942566836457,33,0.5426140120109609
CTHRC1,0.3730837190233407,0.3410356194880598,0.27974598930481287,0.11485990035268516,33,0.5426140120109609
CCL20,0.2336833682619358,0.2046684044449581,0.27272727272727276,0.12464498183057446,33,0.5508504035738291
OASL,0.2564071087487817,0.1631587666980775,0.2667112299465241,0.1335128153138953,33,0.5716017405626143
SCG2,0.2764456794995646,0.2341046215689941,0.26336898395721925,0.1386355181367289,33,0.5755474540827835
PROCR,0.3382887193459629,0.3156959959331001,0.2553475935828877,0.15151464486591093,33,0.5926383641164565
FAM189A2,-0.2832499787955757,-0.2559507503084343,0.25152502803619203,0.1579479407764326,33,0.5926383641164565
MYH11,0.1591004736179439,0.1016526937890101,0.24799465240641713,0.16406207920608668,33,0.5926383641164565
DPYSL3,0.3360163607606204,0.3123449332255715,0.24766042780748665,0.16464957061471314,33,0.5926383641164565
C3orf52,-0.2250454743499386,-0.2039676280049573,0.24298128342245992,0.1730330990121041,33,0.5926383641164565
CAMK2N2,0.2062786794777197,0.1820097341176938,0.23429144385026737,0.18939857914702957,33,0.632868423003489
CACNA1D,-0.1591800900593145,-0.1006416543371486,0.2306149732620321,0.19663870569576514,33,0.6372439694220094
IRF6,-0.2553630249669723,-0.1849980336565012,0.2219251336898396,0.2145116106453367,33,0.6530686812980251
IGFBP3,0.344986358833972,0.3517038419819238,0.2162433155080214,0.2267821191339349,33,0.6754163113336756
SPSB1,0.3011221909933991,0.2547356953194028,0.21390374331550804,0.23197028416660867,33,0.6761687006558593
CDK5R2,0.3573520135986179,0.3149333115671628,0.20521390374331552,0.2519385717227773,33,0.7109916354185624
SPINK1,0.1810976276708547,0.1624927550649695,0.2042185653212638,0.25429627836138363,33,0.7109916354185624
FGF5,0.3157773012150455,0.2599241061477673,0.19351604278074866,0.2805691827387233,33,0.7687595607041018
MT1DP,0.3827949647905922,0.3316084633992787,0.18915326132215418,0.2917640946638728,33,0.78375845037158
TMSB10,0.3689037404940681,0.3269961493333764,0.1788101604278075,0.3194282624412736,33,0.8139396965463588
ENPP5,-0.2506296292737373,-0.1914723470156312,0.17279411764705885,0.33624456078509823,33,0.8139396965463588
PGF,0.225354169836681,0.1978736245303695,0.1681149732620321,0.3496909925288374,33,0.8139396965463588
UNC5A,0.3174370996134525,0.268503641456308,0.16744652406417113,0.3516380286106414,33,0.8139396965463588
DCLK1,0.1985893358111226,0.129177277203823,0.16310160427807488,0.36445225131769754,33,0.8139396965463588
ABCA12,0.2225463649735156,0.1758165818810372,0.15808823529411764,0.37957750603297036,33,0.8139396965463588
DNAJB13,0.3106805942571748,0.2847039044341262,0.15675133689839574,0.3836719840488263,33,0.8139396965463588
PRRX2,0.2134760484830993,0.1778280329256034,0.15096304417027784,0.40169392146081584,33,0.8139396965463588
RCAN2,-0.3017293735786201,-0.2610610147274348,0.1504010695187166,0.40346895918794123,33,0.8139396965463588
SCNN1G,0.1513014345209072,0.1410399469802918,0.13946969918209962,0.43887485041631025,33,0.8139396965463588
C1orf95,-0.3338243289663619,-0.2906691090906359,0.13837395238321712,0.44251490801161053,33,0.8139396965463588
KDM5D,0.0992378014912959,0.0660116892281987,0.1380347593582888,0.4436450208910081,33,0.8139396965463588
TLE6,0.2456682346878992,0.2348936440594744,0.13502673796791445,0.4537353346367933,33,0.8139396965463588
ACTG2,0.2170828188829353,0.1730241875254943,0.12767379679144386,0.4789104095323652,33,0.8139396965463588
