gene,rho_tcga,rho_adj_purity,rho_ccle,p_ccle,n_ccle,fdr_ccle
EMP1,0.4812898002348732,0.5007650688596939,0.6045296167247387,2.840397405198934e-05,41,0.0020235357530343375
CST6,0.5464732899482223,0.5586627388576771,0.5918118466898956,4.594317824314102e-05,41,0.0020235357530343375
FOSL1,0.3142375647522313,0.3618952833849774,0.5839104496152435,6.131926524346477e-05,41,0.0020235357530343375
KRT80,0.3768275991206247,0.3983449119600964,0.5231707317073172,0.00044868492844831587,41,0.011104951979095818
C6orf15,0.2628015738577933,0.274028980706324,0.5130014378314439,0.0006042878327797849,41,0.011218432099652509
SLC2A1,0.31677392654126,0.3823045979148103,0.5088850174216029,0.0006799049757365156,41,0.011218432099652509
RHOD,0.3257788620204292,0.3474768968056717,0.4749128919860628,0.001704007588116615,41,0.022746122057695717
TGFA,0.3805566061674378,0.4218450093774513,0.4719512195121952,0.0018380704693087447,41,0.022746122057695717
PLAU,0.503441217368546,0.5024944233166712,0.46358885017421614,0.0022681573777059735,41,0.02355955980549286
PKD1L2,0.3744663149380716,0.4057288910244769,0.4606271777003485,0.0024404505574105576,41,0.02355955980549286
ANLN,0.3142886324392587,0.3736180158123929,0.45679442508710805,0.002680431409034508,41,0.02355955980549286
MYH16,0.4013719690533984,0.4450310225179511,0.4541811846689896,0.0028557042188476194,41,0.02355955980549286
SLC16A3,0.3742178261432117,0.3860598119874875,0.44372822299651576,0.0036613136245597817,41,0.027882311448570642
SEMA7A,0.2990513113224509,0.3667486522945559,0.425609756097561,0.005533088341328625,41,0.03912683898510956
CGB,0.3688416057199075,0.3983251966428102,0.40065386492234667,0.009435656751537042,41,0.05989498140712307
LAMC2,0.4657205308702332,0.5339987013040858,0.397212543554007,0.010125549749535159,41,0.05989498140712307
C16orf74,0.4450623398150286,0.4478527213083245,0.3964458386094246,0.010284996807283758,41,0.05989498140712307
MFI2,0.486955124778177,0.5136141175443119,0.3832752613240419,0.013378291713329002,41,0.07358060442330952
ZBED2,0.5438989955825271,0.5757978544476946,0.3719512195121951,0.016637740985671782,41,0.08669138724113191
LAMB3,0.3198168796882342,0.3811844143614176,0.3656794425087109,0.018715001184844832,41,0.09212893538087048
IVL,0.345403325590201,0.3632863646883215,0.3633433515359064,0.019542501444427072,41,0.09212893538087048
CGB5,0.3869234567476675,0.4208814098361234,0.3562717770034844,0.02223679171792653,41,0.10006556273066938
KRT7,0.5089982908275126,0.5359442749655259,0.3498257839721255,0.024956532187271074,41,0.10031970065870711
UPK3B,0.2277416698495312,0.2588478579960865,0.34634146341463423,0.026538339587008904,41,0.10031970065870711
PMEPA1,0.549034022782572,0.581528413342702,0.34634146341463423,0.026538339587008904,41,0.10031970065870711
P2RY2,0.3988545943363807,0.4385279556000763,0.34564459930313596,0.026864479674547356,41,0.10031970065870711
VGLL1,0.4185973523422508,0.4253319612381259,0.3445993031358886,0.027359918361465573,41,0.10031970065870711
ITGB4,0.2773604588008948,0.3402293991260975,0.33895204527120876,0.030169296266794716,41,0.10667001180045275
E2F7,0.2962596110982851,0.3699757553962721,0.3325783972125436,0.03362184414802384,41,0.11477801967773657
ARNTL2,0.5154634020229187,0.558308102815447,0.32055749128919864,0.04101620595692559,41,0.13435722211636225
FGFBP1,0.3004756428448789,0.3008075667466546,0.3189895470383276,0.04207145338997202,41,0.13435722211636225
EPHA2,0.2791093795382417,0.327068985640765,0.3158536585365854,0.04424816629555998,41,0.13689276447688867
C4orf26,0.3893664931074046,0.4047746485795367,0.30857178819146014,0.04965597203689449,41,0.14896791611068347
PRR11,0.3668138949668805,0.4102068370982448,0.29843205574912895,0.058060109605759955,41,0.16905737796971282
GABRP,0.2921124893475996,0.2641199058700905,0.29043076816607816,0.06546290547074662,41,0.18516650404582616
KLK6,0.3208397812477764,0.3304478171668731,0.2855400696864112,0.0703437430562989,41,0.19344529340482197
