gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
CLIC5,0.7055036504787038,5.073667171230007e-29,184,0.6805980211390602,4.1711617435713684e-23,161,0.7437015120698125,1.7536832981972976e-33,3.864933870967744,1.1315801075268812,up_in_TGM2high,3.1761156491899845e-26,2.6111472514756765e-20,1.0978057446715082e-30
C2,0.6507715127814914,1.5389204233439023e-23,184,0.6359674546432049,1.6325045498714273e-19,161,0.6391387013051932,2.1161829706293549e-22,2.3348629032258064,0.8028632392473121,up_in_TGM2high,4.816820925066414e-21,5.1097392410975674e-17,2.20788423268996e-20
TMEM176A,0.6250621255610564,2.461741251264309e-21,184,0.63087609445523,3.85322393881902e-19,161,0.6204034699172191,7.510540546304637e-21,2.375751612903226,1.1554113575268818,up_in_TGM2high,3.852625058228644e-19,6.76433237124152e-17,3.3582845585619306e-19
TMEM176B,0.625349155285007,2.3321788427831986e-21,184,0.6301878891023509,4.3222571062246134e-19,161,0.6155268173757641,1.8291786645763875e-20,2.109064516129033,0.8737146505376359,up_in_TGM2high,3.852625058228644e-19,6.76433237124152e-17,6.735681435440109e-19
SERPINA1,0.6148985764096242,1.611604471871366e-20,184,0.6119499030409916,8.197724172806273e-18,161,0.6505458430078164,2.1289090799853194e-23,3.707017741935488,1.3939766801075262,up_in_TGM2high,2.0177287987829503e-18,1.0263550664353455e-15,3.3317427101770248e-21
STAMBPL1,0.563969644169748,7.690038580985e-17,184,0.5755925419299541,1.6959707984758697e-15,161,0.638163432990878,2.563813295337364e-22,1.5582338709677428,0.5857006720430107,up_in_TGM2high,5.3488490574406776e-15,1.769462866409824e-13,2.2927816041159856e-20
MGAT4A,0.565855021093795,5.766110505403607e-17,184,0.5547451603677289,2.710718997559839e-14,161,0.6462647419184699,5.098623740184239e-23,2.299541935483873,1.0766561827956984,up_in_TGM2high,5.156550251975225e-15,2.1372274907482296e-12,6.383476922710667e-21
RAB20,0.5320413785132245,7.728023884570753e-15,184,0.5546862767732103,2.7312811383363956e-14,161,0.6181407560280368,1.1373139177568011e-20,1.554811290322581,0.7925278225806469,up_in_TGM2high,2.918558837501928e-13,2.1372274907482296e-12,4.555517698092193e-19
SLC46A3,0.5456589162219952,1.1483966664348742e-15,184,0.5438340995139076,1.0724286825027414e-13,161,0.6011890369501719,2.2954611426264423e-19,1.5907064516129017,1.218175672043012,up_in_TGM2high,5.529971639909471e-14,6.103094138606511e-12,6.247646414278925e-18
FAM47E,0.495292180507166,8.834413431085382e-13,184,0.5408320356104355,1.5522022124071117e-13,161,0.567641402006958,5.336896734056504e-17,2.1236887096774195,0.9931098790322586,up_in_TGM2high,1.5800979451026998e-11,8.097321541390433e-12,6.424802606768023e-16
SPATA13,0.5029377203290246,3.4521732196625294e-13,184,0.5396382383514651,1.796233540137898e-13,161,0.5596582888737192,1.7851106075710834e-16,1.8562919354838725,0.8233008736559135,up_in_TGM2high,6.753313860964823e-12,8.649555354817879e-12,1.926688345412928e-15
CFB,0.561376201575774,1.1393131737648486e-16,184,0.5304669146096753,5.411398295675047e-13,161,0.6696999142434198,3.5790099840959926e-25,2.7634806451612928,1.1050297043010762,up_in_TGM2high,6.5215322072770254e-15,2.4196680950661282e-11,7.468200833480304e-23
TMEM139,0.4914439934589332,1.4053114505046729e-12,184,0.5255172299544115,9.679599142576394e-13,161,0.6180120967608846,1.1643495713973657e-20,3.36518387096774,1.506401142473118,up_in_TGM2high,2.4016308872341455e-11,4.039619375501882e-11,4.555517698092193e-19
SUSD1,0.455281373543894,8.39982981144164e-11,184,0.5241726202738913,1.131771618353928e-12,161,0.48290132148206594,4.417861892513197e-12,0.8074016129032273,0.5915684139784938,up_in_TGM2high,7.620715162264445e-10,4.428056456809743e-11,1.2524088096869752e-11
