gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
C1R,0.5375970603825487,2.995087528691322e-41,533,0.48879579330151446,3.283705935005491e-31,498,0.4394851414123973,1.56243106981365e-26,2.023523033707866,0.8905423728813577,up_in_TGM2high,5.0916487987752474e-39,5.582300089509335e-29,2.656132818683205e-24
FOXL1,0.4282503740616761,3.4886115642411183e-25,533,0.4358168925790838,1.861873115551872e-24,498,0.30214542064083544,1.0816197945423842e-12,1.2904168539325849,0.6859530759573156,up_in_TGM2high,1.1861279318419804e-23,1.5825921482190913e-22,1.3133954648014666e-11
SERPINE1,0.46825886699496805,2.1152649874617904e-30,533,0.42909358334791114,1.1102243057342554e-23,498,0.34383923497675484,3.289347317094658e-16,1.8502702247190983,0.8456371939736371,up_in_TGM2high,1.198650159561681e-28,6.291271065827447e-22,1.1183780878121838e-14
C1S,0.4911235146279617,1.0445384689590708e-33,533,0.4240482683874563,4.130730501018066e-23,498,0.39803056242533774,1.215040901769623e-21,1.944655617977532,0.8661231638418059,up_in_TGM2high,8.878576986152101e-32,1.7555604629326782e-21,1.0327847665041795e-19
LOX,0.43102880371928326,1.5932894322441936e-25,533,0.39629729105263073,3.868825709599578e-20,498,0.33867232257864877,9.612581133693148e-16,1.7857707865168582,0.9976957940991884,up_in_TGM2high,6.771480087037824e-24,1.2733812613148902e-18,2.7235646545463916e-14
DMBT1,0.40312473856982683,3.0255156374213315e-22,533,0.3956593953402005,4.494286804640789e-20,498,0.32633789961939635,1.1477540611030189e-14,1.2724224719101118,1.0134901757689896,up_in_TGM2high,5.857497437029797e-21,1.2733812613148902e-18,2.480122999694987e-13
ENKUR,0.3914626013753905,5.781905051929314e-21,533,0.3564457821419923,2.460598381775007e-16,498,0.359445788734858,1.1398253391162219e-17,1.3048415730337075,0.8087965160075337,up_in_TGM2high,9.829238588279834e-20,3.8027429536522834e-15,6.459010254991924e-16
IGFBP3,0.34498635883397205,2.4244545293564795e-16,533,0.3517038419819238,6.447147415991597e-16,498,0.31755334262278206,6.274311855553106e-14,1.0509988764044935,0.6316682674199612,up_in_TGM2high,1.648629079962406e-15,8.43088508245055e-15,1.0666330154440279e-12
AQP9,0.40421938375205163,2.2798615059626626e-22,533,0.3377049076793732,1.0087251140811808e-14,498,0.3262527661646583,1.1671167057388175e-14,1.9147764044943816,0.8644962335216579,up_in_TGM2high,5.5368065144807514e-21,1.1432217959586716e-13,2.480122999694987e-13
MT1DP,0.3827949647905922,4.806332212394464e-20,533,0.33160846339927874,3.201395754167681e-14,498,0.34606248455883665,2.060755998478935e-16,1.27535393258427,0.6785444130571248,up_in_TGM2high,6.80897063422549e-19,2.5916060867071703e-13,8.758212993535474e-15
TMSB10,0.36890374049406816,1.2578791947390899e-18,533,0.32699614933337645,7.541272263502371e-14,498,0.30310756825635937,9.098471769927102e-13,0.7653134831460662,0.7071058694287533,up_in_TGM2high,1.284958569248206e-17,5.827346749070013e-13,1.1898001545289288e-11
NKAIN1,0.3090588490783293,2.924200910008889e-13,533,0.31779329197045175,3.992322989149606e-13,498,0.3043743969723301,7.238593539841809e-13,1.19183595505618,0.96734136848713,up_in_TGM2high,1.0806829450032851e-12,2.8278954506476375e-12,1.0254674181442564e-11
CDK5R2,0.35735201359861796,1.6881914089149515e-17,533,0.31493331156716287,6.624426374595421e-13,498,0.32382452662234146,1.8766544955977894e-14,1.2218646067415728,0.5961846829880728,up_in_TGM2high,1.5104870500817987e-16,4.331355706466237e-12,3.5447918250180467e-13
