gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
CLIC5,0.7055036504787038,5.073667171230007e-29,184,0.6805980211390602,4.1711617435713684e-23,161,0.7437015120698125,1.7536832981972976e-33,3.864933870967744,1.1315801075268812,up_in_TGM2high,3.1761156491899845e-26,2.6111472514756765e-20,1.0978057446715082e-30
C2,0.6507715127814914,1.5389204233439023e-23,184,0.6359674546432049,1.6325045498714273e-19,161,0.6391387013051932,2.1161829706293549e-22,2.3348629032258064,0.8028632392473121,up_in_TGM2high,4.816820925066414e-21,5.1097392410975674e-17,2.20788423268996e-20
TMEM176B,0.625349155285007,2.3321788427831986e-21,184,0.6301878891023509,4.3222571062246134e-19,161,0.6155268173757641,1.8291786645763875e-20,2.109064516129033,0.8737146505376359,up_in_TGM2high,3.852625058228644e-19,6.76433237124152e-17,6.735681435440109e-19
TMEM176A,0.6250621255610564,2.461741251264309e-21,184,0.63087609445523,3.85322393881902e-19,161,0.6204034699172191,7.510540546304637e-21,2.375751612903226,1.1554113575268818,up_in_TGM2high,3.852625058228644e-19,6.76433237124152e-17,3.3582845585619306e-19
SERPINA1,0.6148985764096242,1.611604471871366e-20,184,0.6119499030409916,8.197724172806273e-18,161,0.6505458430078164,2.1289090799853194e-23,3.707017741935488,1.3939766801075262,up_in_TGM2high,2.0177287987829503e-18,1.0263550664353455e-15,3.3317427101770248e-21
NTN4,0.5849126389397238,2.8246847317443695e-18,184,0.49172583636380285,4.0294255734146243e-11,161,0.5528589703113941,4.867748280121912e-16,1.7382774193548371,0.6621676747311795,up_in_TGM2high,2.9470877367866255e-16,6.637948444625144e-10,4.548075258740771e-15
MGAT4A,0.565855021093795,5.766110505403607e-17,184,0.5547451603677289,2.710718997559839e-14,161,0.6462647419184699,5.098623740184239e-23,2.299541935483873,1.0766561827956984,up_in_TGM2high,5.156550251975225e-15,2.1372274907482296e-12,6.383476922710667e-21
RAB37,0.564608929036748,6.976180408173745e-17,184,0.5164826338184514,2.7315667977452935e-12,161,0.6224121212272844,5.181636601207329e-21,2.1359241935483864,1.1038069220430096,up_in_TGM2high,5.3488490574406776e-15,7.890027682203747e-11,2.703087093629823e-19
STAMBPL1,0.563969644169748,7.690038580985e-17,184,0.5755925419299541,1.6959707984758697e-15,161,0.638163432990878,2.563813295337364e-22,1.5582338709677428,0.5857006720430107,up_in_TGM2high,5.3488490574406776e-15,1.769462866409824e-13,2.2927816041159856e-20
CFB,0.561376201575774,1.1393131737648486e-16,184,0.5304669146096753,5.411398295675047e-13,161,0.6696999142434198,3.5790099840959926e-25,2.7634806451612928,1.1050297043010762,up_in_TGM2high,6.5215322072770254e-15,2.4196680950661282e-11,7.468200833480304e-23
NR5A2,0.561337674096049,1.1459561386589023e-16,184,0.5146867286363245,3.345037133442349e-12,161,0.6292022995075924,1.4481088732032029e-21,2.517495161290321,1.250581720430108,up_in_TGM2high,6.5215322072770254e-15,9.104318458847436e-11,1.0072401718057833e-19
ACE,0.547600701200131,8.688650598088201e-16,184,0.5230920289291952,1.282659578477933e-12,161,0.5712929302341746,3.038676194607469e-17,1.7072564516129043,1.049412096774196,up_in_TGM2high,4.532579395336012e-14,4.723205271336389e-11,3.882063873110766e-16
SLC46A3,0.5456589162219952,1.1483966664348742e-15,184,0.5438340995139076,1.0724286825027414e-13,161,0.6011890369501719,2.2954611426264423e-19,1.5907064516129017,1.218175672043012,up_in_TGM2high,5.529971639909471e-14,6.103094138606511e-12,6.247646414278925e-18
LPIN2,0.5354645450867831,4.824225383363733e-15,184,0.5016480654111274,1.4061576802286373e-11,161,0.5996369200846223,2.99578060206214e-19,1.859356451612907,0.8279690188172015,up_in_TGM2high,2.0133100599904644e-13,2.839531315558474e-10,7.212917911118846e-18
