gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
MUC16,0.573085491338331,6.305181709532697e-17,178,0.5992710154592348,8.525564981955705e-16,149,0.5300995790732186,3.257306719052337e-14,4.773706666666664,1.2953241071428565,up_in_TGM2high,6.998751697581293e-15,9.463377129970833e-14,1.8078052290740469e-12
SEMA3C,0.5530534753156888,1.194870348732589e-15,178,0.5702563178166793,3.865462279768331e-14,149,0.4916692097239313,3.671972537407893e-12,1.6730749999999954,0.7357838541666677,up_in_TGM2high,6.631530435465869e-14,8.581326261085694e-13,4.5287661294697356e-11
PMEPA1,0.549034022782572,2.1062075425189342e-15,178,0.581528413342702,9.185849308985979e-15,149,0.5311659810851992,2.832410910932891e-14,1.3665983333333358,0.5922087797619042,up_in_TGM2high,6.683162900536668e-14,3.3987642443248116e-13,1.8078052290740469e-12
ANXA8L2,0.5474356064674331,2.6332211592356277e-15,178,0.5856567245058972,5.3517511698522645e-15,149,0.5123180411450846,3.1214196525928564e-13,2.943464999999999,1.1999810267857134,up_in_TGM2high,6.683162900536668e-14,2.970221899268007e-13,6.929551628756141e-12
CST6,0.5464732899482223,3.010433738980481e-15,178,0.5586627388576771,1.6024514379777672e-13,149,0.5123729641570434,3.1003277787845214e-13,3.1433633333333324,1.2729274553571424,up_in_TGM2high,6.683162900536668e-14,1.9913074221569573e-12,6.929551628756141e-12
ZBED2,0.5438989955825271,4.297871902337927e-15,178,0.5757978544476946,1.9203291346672937e-14,149,0.4968113481088554,2.018288351164611e-12,2.926221666666668,1.0409741071428575,up_in_TGM2high,7.951063019325166e-14,5.32891334870174e-13,2.885932015317169e-11
EREG,0.5255052536236852,5.018594059596944e-14,178,0.565029446472811,7.389461700881783e-14,149,0.4965548145203203,2.079951002030392e-12,2.96099,1.4082225446428571,up_in_TGM2high,7.958056294503726e-13,1.3670504146631298e-12,2.885932015317169e-11
ANXA8,0.5221060426235987,7.777678579761384e-14,178,0.5595809524227903,1.434639994574978e-13,149,0.484946097659617,7.911440894538485e-12,3.2984699999999965,1.1491946428571411,up_in_TGM2high,1.079152902941892e-12,1.9913074221569573e-12,7.534679945200319e-11
GPR87,0.5161524741637696,1.6558961667751383e-13,178,0.5442459743637725,8.712424233716605e-13,149,0.47893738790234097,1.5491987557999956e-11,3.0596500000000004,1.0464298363095246,up_in_TGM2high,2.004145806643575e-12,8.791628090386756e-12,1.3227773991830733e-10
ARNTL2,0.5154634020229187,1.8055367627419595e-13,178,0.558308102815447,1.6722468660969953e-13,149,0.4852387603232355,7.654115307770328e-12,1.163735,0.593359300595238,up_in_TGM2high,2.004145806643575e-12,1.9913074221569573e-12,7.534679945200319e-11
KRT7,0.5089982908275126,4.0275814590806467e-13,178,0.5359442749655259,2.2280541842395626e-12,149,0.5188561171319989,1.3806815691247063e-13,2.2637366666666665,1.133485714285717,up_in_TGM2high,4.06419583598138e-12,1.90241549577378e-11,5.108521805761413e-12
PLAU,0.503441217368546,7.920094049158307e-13,178,0.5024944233166712,7.641577553797011e-11,149,0.4259954548613091,3.391407777035471e-09,1.6614466666666683,0.7222039434523797,up_in_TGM2high,6.963202400669411e-12,4.712306158174824e-10,2.0913681291718738e-08
