gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro,rho_ccle,p_ccle,n_ccle
PMEPA1,0.549034022782572,2.1062075425189346e-15,178,0.581528413342702,9.18584930898598e-15,149,0.5311659810851992,2.8324109109328913e-14,1.3665983333333358,0.5922087797619042,up_in_TGM2high,6.683162900536668e-14,3.398764244324812e-13,1.8078052290740469e-12,0.3463414634146342,0.0265383395870089,41
ZBED2,0.5438989955825271,4.297871902337927e-15,178,0.5757978544476946,1.9203291346672937e-14,149,0.4968113481088554,2.018288351164611e-12,2.926221666666668,1.0409741071428575,up_in_TGM2high,7.951063019325167e-14,5.32891334870174e-13,2.885932015317169e-11,0.3719512195121951,0.0166377409856717,41
CST6,0.5464732899482223,3.010433738980481e-15,178,0.5586627388576771,1.6024514379777675e-13,149,0.5123729641570434,3.1003277787845214e-13,3.1433633333333324,1.2729274553571424,up_in_TGM2high,6.683162900536668e-14,1.9913074221569573e-12,6.929551628756141e-12,0.5918118466898956,4.594317824314102e-05,41
ARNTL2,0.5154634020229187,1.8055367627419598e-13,178,0.558308102815447,1.6722468660969953e-13,149,0.4852387603232355,7.654115307770328e-12,1.163735,0.593359300595238,up_in_TGM2high,2.004145806643575e-12,1.9913074221569573e-12,7.534679945200319e-11,0.3205574912891986,0.0410162059569255,41
KRT7,0.5089982908275126,4.0275814590806477e-13,178,0.5359442749655259,2.2280541842395626e-12,149,0.5188561171319989,1.3806815691247065e-13,2.2637366666666665,1.133485714285717,up_in_TGM2high,4.06419583598138e-12,1.9024154957737798e-11,5.108521805761413e-12,0.3498257839721255,0.024956532187271,41
LAMC2,0.4657205308702332,5.73013673813324e-11,178,0.5339987013040858,2.766256388703857e-12,149,0.4354453364139293,1.3853193821248986e-09,1.7628483333333342,1.1421139880952325,up_in_TGM2high,3.1802258896639477e-10,2.193246136758058e-11,9.045320671521398e-09,0.397212543554007,0.0101255497495351,41
MFI2,0.486955124778177,5.4882542883331205e-12,178,0.5136141175443119,2.4618449266452696e-11,149,0.4683555672261084,4.9032406246246476e-11,1.8103983333333336,0.8318562499999995,up_in_TGM2high,4.0613081733665095e-11,1.7079049178601557e-10,3.62839806222224e-10,0.3832752613240419,0.013378291713329,41
PLAU,0.503441217368546,7.920094049158307e-13,178,0.5024944233166712,7.641577553797011e-11,149,0.4259954548613091,3.391407777035471e-09,1.6614466666666683,0.7222039434523797,up_in_TGM2high,6.963202400669411e-12,4.712306158174823e-10,2.0913681291718735e-08,0.4635888501742161,0.0022681573777059,41
EMP1,0.4812898002348732,1.0425900946930312e-11,178,0.5007650688596939,9.08044818417812e-11,149,0.4002797406246909,3.3861999289433665e-08,1.3445983333333356,0.5903301339285694,up_in_TGM2high,7.071848120741771e-11,5.083759962928835e-10,1.3921044152322726e-07,0.6045296167247387,2.840397405198934e-05,41
C16orf74,0.4450623398150286,4.833687758821614e-10,178,0.4478527213083245,1.147544211096878e-08,149,0.3952678636202528,5.1860821818605896e-08,1.7666499999999985,0.6090497767857146,up_in_TGM2high,2.3327797444747795e-09,4.392324394198396e-08,1.918850407288418e-07,0.3964458386094246,0.0102849968072837,41
