============================================================================================
TGM2 表达 vs 药物 IC50 相关性  |  CCLE RNA-seq (log2 RPKM+1) x GDSC1/2 fitted LN_IC50
rho > 0 = TGM2 越高 IC50 越高 = 越耐药（支持课题假设）
============================================================================================

############################################################################################
### PAN-CANCER  |  可评估药物 664 个  |  FDR<0.05 显著 664 个  |  rho>0(耐药方向) 550/664 = 83%
############################################################################################

药物                              n     rho          P        FDR  靶点/通路
--------------------------------------------------------------------------------------------
AZD5991                       483   0.522   4.54e-35   1.51e-32  MCL1 / Apoptosis regulation
GSK626616AC                   483   0.476   1.03e-28   1.51e-32  DYRK1A / Other, kinases
AZD1208                       485   0.474   1.47e-28   1.51e-32  PIM1, PIM2, PIM3 / Other, kinases
Vorinostat                    612   0.472   3.12e-35   1.51e-32  HDAC inhibitor Class / Chromatin histone acetylat
GSK2830371                    499   0.462   9.92e-28   1.51e-32  WIP1 / Other
UNC0638                       498   0.460   1.67e-27   1.51e-32  G9A, GLP / Chromatin histone methylat
Sorafenib                     611   0.458   5.90e-33   1.51e-32  PDGFR, KIT, VEGFR, R / Other, kinases
Venetoclax                    611   0.453   3.27e-32   1.51e-32  BCL2 / Apoptosis regulation
LMB_AB1                       483   0.452   1.18e-25   1.51e-32  ADRA1A, ADRB1 / Other
Axitinib                      613   0.448   1.55e-31   1.51e-32  PDGFR, KIT, VEGFR / RTK signaling
Motesanib                     606   0.446   5.85e-31   1.51e-32  VEGFR, RET, KIT, PDG / RTK signaling
GSK2830371A                   483   0.442   1.51e-24   1.51e-32  PPM1D / Other
GSK3337463A                   483   0.442   1.59e-24   1.51e-32  NIK / Other, kinases
LMB_AB2                       483   0.439   3.74e-24   1.51e-32  GADD34 / Unclassified
EPZ004777                     616   0.438   2.48e-30   1.51e-32  DOT1L / Chromatin histone methylat
EPZ5676                       613   0.438   3.83e-30   1.51e-32  DOT1L / Chromatin histone methylat
CD532                         591   0.437   6.56e-29   1.51e-32  AURKA / Mitosis
ACY-1215                      590   0.433   2.24e-28   1.51e-32  HDAC6 / Chromatin histone acetylat
Entinostat                    572   0.432   2.22e-27   1.51e-32  HDAC1, HDAC3 / Chromatin histone acetylat
Remodelin                     261   0.432   2.88e-13   1.51e-32  nan / Unclassified
Veliparib                     606   0.429   1.46e-28   1.51e-32  PARP1, PARP2 / Genome integrity
Nelarabine                    483   0.428   6.36e-23   1.51e-32  nan / DNA replication
776928                        482   0.427   8.56e-23   1.51e-32  nan / Unclassified
AGI-6780                      567   0.423   4.72e-26   1.51e-32  IDH2 R140Q mutant / Metabolism
Zoledronate                   483   0.418   8.43e-22   1.51e-32    / Other
GSK2256098C                   483   0.415   1.59e-21   1.51e-32  FAK1 / Cytoskeleton
GSK2110183B                   483   0.415   1.59e-21   1.51e-32  AKT1, AKT2, AKT3 / PI3K/MTOR signaling
Lenalidomide                  606   0.414   1.48e-26   1.51e-32  CRBN / Protein stability and degr
TAF1_5496                     485   0.413   2.06e-21   1.51e-32  TAF1 / Other
N29087-69-1                   505   0.413   3.48e-22   1.51e-32  nan / Unclassified

  --- 反方向（TGM2 高 = 更敏感）Top10 ---
torin2                         78  -0.475   1.09e-05   1.51e-32  MTOR, ATM, ATR, DNAP / PI3K/MTOR signaling
EphB4_9721                    585  -0.441   2.94e-29   1.51e-32  EPHB4 / RTK signaling
THZ-1-87                       62  -0.441   3.34e-04   1.51e-32  BTK, BMX / Other, kinases
HG-6-71-01                     78  -0.436   6.55e-05   1.51e-32  DDR1, DDR2, SRC / Other, kinases
Trametinib                    560  -0.409   5.17e-24   1.51e-32  MEK1, MEK2 / ERK MAPK signaling
THZ-2-98-01                    62  -0.343   6.33e-03   1.51e-32  IRAK1 / Unclassified
Dasatinib                     217  -0.342   2.49e-07   1.51e-32  ABL, SRC, Ephrins, P / RTK signaling
Dasatinib                     613  -0.309   4.91e-15   1.51e-32  ABL, SRC, Ephrins, P / Other, kinases
Refametinib                   599  -0.295   1.56e-13   1.51e-32  MEK1, MEK2 / ERK MAPK signaling
PD0325901                     587  -0.295   3.11e-13   1.51e-32  MEK1, MEK2 / ERK MAPK signaling

############################################################################################
### KIRC  |  可评估药物 596 个  |  FDR<0.05 显著 0 个  |  rho>0(耐药方向) 409/596 = 69%
############################################################################################

药物                              n     rho          P        FDR  靶点/通路
--------------------------------------------------------------------------------------------
AZD4547                        12   0.678   1.53e-02   9.88e-01  FGRF1, FGFR2, FGFR3 / RTK signaling
BDILV000379a                   10   0.636   4.79e-02   9.88e-01  BAZ2A, BAZ2B / Chromatin histone acetylat
AGI-6780                       12   0.608   3.58e-02   9.88e-01  IDH2 R140Q mutant / Metabolism
Dabrafenib                     11   0.600   5.10e-02   9.88e-01  BRAF / ERK MAPK signaling
MG-132                         13   0.599   3.06e-02   9.88e-01  Proteasome, CAPN1 / Protein stability and degr
ERK_6604                       10   0.576   8.16e-02   9.88e-01  ERK1,ERK2 / ERK MAPK signaling
BDOCA000347a                   10   0.564   8.97e-02   9.88e-01  BRPF1, BRPF2, BRPF3 / Chromatin histone acetylat
Alisertib                      13   0.555   4.90e-02   9.88e-01  AURKA / Mitosis
Doramapimod                    13   0.555   4.90e-02   9.88e-01  p38, JNK2 / JNK and p38 signaling
alpha-lipoic acid              11   0.555   7.67e-02   9.88e-01  Metabolism / Metabolism
MCT1_6447                      12   0.552   6.25e-02   9.88e-01  MCT1 / Cell cycle
Dabrafenib                     13   0.544   5.46e-02   9.88e-01  BRAF / ERK MAPK signaling
CRT0105950                     12   0.524   8.00e-02   9.88e-01  JNK1, JNK2, JNK3 / JNK and p38 signaling
IAP_5620                       12   0.517   8.49e-02   9.88e-01  IAP / Other
GSK3337463A                    10   0.515   1.28e-01   9.88e-01  NIK / Other, kinases
ETP-45835                      13   0.511   7.43e-02   9.88e-01  MNK1, MNK2 / Other, kinases
GSK1904529A                    13   0.505   7.80e-02   9.88e-01  IGF1R, IR / RTK signaling
BAM7                           13   0.505   7.80e-02   9.88e-01  Bax activator / Other
Obatoclax Mesylate             11   0.500   1.17e-01   9.88e-01  BCL2, BCL-XL, BCL-W, / Apoptosis regulation
