================================================================================================
A. CCLE  |  TGM2 (log2 RPKM+1) vs CCLE_NP24 药敏 ActArea/IC50
================================================================================================
[A] TGM2 有值细胞系: 1075
[A] CCLE 药敏: 504 细胞系, 97 个字段

  说明：CCLE 药敏字段含 ActArea(活性面积,越大=越敏感) 与 IC50/EC50。
        对 IC50 类字段 rho>0 = TGM2高更耐药；对 ActArea 类字段 rho<0 = TGM2高更耐药。

  字段                                            n     rho          P        FDR
  --------------------------------------------------------------------------
  Panobinostat:HDAC_IC50 (uM)                 472   0.366   2.15e-16   1.03e-14 *
  Panobinostat:HDAC_TargetEC50 (uM)           472   0.355   1.98e-15   6.35e-14 *
  Topotecan:TOP1_TargetEC50 (uM)              449   0.330   7.34e-13   1.76e-11 *
  Irinotecan:TOP1_TargetEC50 (uM)             294   0.312   4.88e-08   3.35e-07 *
  L-685458:GS_IC50 (uM)                       463   0.306   1.80e-11   2.58e-10 *
  Irinotecan:TOP1_IC50 (uM)                   301   0.289   3.51e-07   2.11e-06 *
  PD-0332991:CDK4_IC50 (uM)                   409   0.275   1.51e-08   1.21e-07 *
  Topotecan:TOP1_IC50 (uM)                    476   0.274   1.22e-09   1.17e-08 *
  Paclitaxel:TUBB1_Amax                       475   0.250   3.50e-08   2.59e-07 *
  TAE684:ALK_TargetEC50 (uM)                  378   0.247   1.21e-06   6.12e-06 *
  L-685458:GS_Amax                            463   0.238   2.27e-07   1.45e-06 *
  PD-0332991:CDK4_Amax                        409   0.238   1.18e-06   6.12e-06 *
  Paclitaxel:TUBB1_IC50 (uM)                  475   0.224   8.02e-07   4.53e-06 *
  AZD6244:MEK_TargetEC50 (uM)                 244   0.201   1.58e-03   3.53e-03 *
  TKI258:FGFR_IC50 (uM)                       476   0.198   1.32e-05   5.50e-05 *
  PHA-665752:c-MET_IC50 (uM)                  475   0.196   1.70e-05   6.77e-05 *
  PHA-665752:c-MET_Amax                       475   0.196   1.76e-05   6.77e-05 *
  PF2341066:c-MET_TargetEC50 (uM)             317   0.187   7.98e-04   1.97e-03 *
  Irinotecan:TOP1_Amax                        301   0.182   1.52e-03   3.48e-03 *
  PF2341066:c-MET_IC50 (uM)                   476   0.178   9.15e-05   3.03e-04 *
  AEW541:IGF1R_TargetEC50 (uM)                375   0.178   5.28e-04   1.41e-03 *
  Paclitaxel:TUBB1_TargetEC50 (uM)            411   0.178   2.88e-04   8.48e-04 *
  Topotecan:TOP1_Amax                         476   0.174   1.37e-04   4.38e-04 *
  TKI258:FGFR_Amax                            476   0.165   2.91e-04   8.48e-04 *
  Sorafenib:RTK_Amax                          475   0.161   4.26e-04   1.20e-03 *
  Sorafenib:RTK_IC50 (uM)                     475   0.160   4.60e-04   1.26e-03 *
  17-AAG:HSP90_Amax                           475   0.153   8.00e-04   1.97e-03 *
  Nutlin-3:MDM2_IC50 (uM)                     476   0.151   9.74e-04   2.34e-03 *
  Erlotinib:EGFR_TargetEC50 (uM)              251   0.146   2.09e-02   3.79e-02 *
  TAE684:ALK_IC50 (uM)                        476   0.144   1.64e-03   3.58e-03 *
  PF2341066:c-MET_Amax                        476   0.134   3.47e-03   7.24e-03 *
  Nilotinib:ABL_IC50 (uM)                     396   0.132   8.50e-03   1.67e-02 *
  PD-0332991:CDK4_TargetEC50 (uM)             220   0.129   5.55e-02   9.52e-02
  PD-0325901:MEK_ActArea                      476   0.114   1.30e-02   2.50e-02 *
  PLX4720:RAF_TargetEC50 (uM)                 159   0.104   1.94e-01   2.82e-01
  AEW541:IGF1R_IC50 (uM)                      475   0.085   6.39e-02   1.08e-01
  RAF265:RAF_Amax                             433   0.074   1.24e-01   1.98e-01
  AZD0530:ABL_ActArea                         476   0.072   1.17e-01   1.90e-01
  AZD6244:MEK_ActArea                         475   0.070   1.27e-01   2.00e-01
  Lapatinib:EGFR_IC50 (uM)                    476   0.068   1.39e-01   2.15e-01
  Nilotinib:ABL_Amax                          396   0.068   1.78e-01   2.68e-01
  PD-0325901:MEK_TargetEC50 (uM)              348   0.061   2.55e-01   3.49e-01
  Lapatinib:EGFR_TargetEC50 (uM)              283   0.058   3.31e-01   4.24e-01
  TAE684:ALK_Amax                             476   0.052   2.53e-01   3.49e-01
  Nutlin-3:MDM2_Amax                          476   0.023   6.14e-01   7.47e-01
  L-685458:GS_TargetEC50 (uM)                 135   0.020   8.16e-01   8.81e-01
  TKI258:FGFR_TargetEC50 (uM)                 372   0.019   7.16e-01   8.38e-01
  PLX4720:RAF_ActArea                         468   0.018   6.93e-01   8.21e-01
  ZD-6474:EGFR_TargetEC50 (uM)                300   0.016   7.85e-01   8.66e-01
  Nutlin-3:MDM2_TargetEC50 (uM)                96   0.015   8.82e-01   9.31e-01
  Nilotinib:ABL_TargetEC50 (uM)               234   0.012   8.54e-01   9.11e-01
  ZD-6474:EGFR_ActArea                        468   0.005   9.07e-01   9.36e-01
  AZD0530:ABL_TargetEC50 (uM)                 290   0.004   9.48e-01   9.69e-01
  LBW242:XIAP_TargetEC50 (uM)                  93   0.001   9.92e-01   9.92e-01
  AEW541:IGF1R_Amax                           475  -0.001   9.77e-01   9.87e-01
  RAF265:RAF_ActArea                          433  -0.006   9.02e-01   9.36e-01
  AZD6244:MEK_IC50 (uM)                       475  -0.011   8.16e-01   8.81e-01
  RAF265:RAF_IC50 (uM)                        433  -0.014   7.79e-01   8.66e-01
  Lapatinib:EGFR_Amax                         476  -0.014   7.59e-01   8.57e-01
  ZD-6474:EGFR_IC50 (uM)                      468  -0.014   7.58e-01   8.57e-01
  LBW242:XIAP_ActArea                         475  -0.015   7.51e-01   8.57e-01
  Erlotinib:EGFR_ActArea                      475  -0.023   6.23e-01   7.47e-01
  Erlotinib:EGFR_IC50 (uM)                    475  -0.025   5.93e-01   7.39e-01
  RAF265:RAF_TargetEC50 (uM)                  374  -0.026   6.19e-01   7.47e-01
  Sorafenib:RTK_TargetEC50 (uM)               195  -0.039   5.92e-01   7.39e-01
  Lapatinib:EGFR_ActArea                      476  -0.047   3.07e-01   3.98e-01
  17-AAG:HSP90_TargetEC50 (uM)                460  -0.048   3.00e-01   3.94e-01
  17-AAG:HSP90_IC50 (uM)                      475  -0.051   2.70e-01   3.60e-01
  PLX4720:RAF_IC50 (uM)                       468  -0.056   2.29e-01   3.24e-01
  LBW242:XIAP_IC50 (uM)                       475  -0.059   2.00e-01   2.86e-01
  17-AAG:HSP90_ActArea                        475  -0.061   1.87e-01   2.77e-01
  ZD-6474:EGFR_Amax                           468  -0.066   1.57e-01   2.39e-01
  PD-0325901:MEK_IC50 (uM)                    476  -0.074   1.07e-01   1.78e-01
  AZD0530:ABL_IC50 (uM)                       476  -0.096   3.62e-02   6.32e-02
  Nutlin-3:MDM2_ActArea                       476  -0.098   3.19e-02   5.67e-02
  AEW541:IGF1R_ActArea                        475  -0.110   1.68e-02   3.09e-02 *
  LBW242:XIAP_Amax                            475  -0.110   1.66e-02   3.09e-02 *
  PHA-665752:c-MET_TargetEC50 (uM)             88  -0.120   2.65e-01   3.59e-01
  Panobinostat:HDAC_Amax                      472  -0.122   7.97e-03   1.59e-02 *
