case_id	model	cell_line	chrom	split	node_id	bin	start	end	compartment_score	compartment	embedding_norm	umap_1	umap_2	cluster
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	0	3204	16020000	16025000	nan	unknown	6.1995668	14.496257	5.0442281	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	1	3205	16025000	16030000	nan	unknown	6.2024951	14.917659	5.7166843	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	2	3206	16030000	16035000	nan	unknown	6.2052836	14.979085	6.2222729	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	3	3207	16035000	16040000	nan	unknown	6.2041407	14.650764	5.5340791	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	4	3208	16040000	16045000	nan	unknown	6.2007508	14.844775	5.6908426	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	5	3209	16045000	16050000	nan	unknown	6.1992717	14.627306	5.1542444	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	6	3210	16050000	16055000	nan	unknown	6.2019296	14.916676	5.6962113	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	7	3211	16055000	16060000	nan	unknown	6.2109027	14.784139	5.7460203	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	8	3212	16060000	16065000	nan	unknown	6.2000003	14.941072	5.7213516	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	9	3213	16065000	16070000	nan	unknown	6.2023582	15.072517	6.2681794	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	10	3214	16070000	16075000	nan	unknown	6.2028031	14.851218	5.7671661	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	11	3215	16075000	16080000	nan	unknown	6.2005782	14.67061	5.2169223	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	12	3216	16080000	16085000	nan	unknown	6.2029576	15.08286	6.289988	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	13	3217	16085000	16090000	nan	unknown	6.1998835	14.897288	5.7079272	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	14	3218	16090000	16095000	nan	unknown	6.1692557	13.408274	4.0161066	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	15	3219	16095000	16100000	nan	unknown	6.1144156	13.36518	4.0363874	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	16	3220	16100000	16105000	nan	unknown	6.9032416	1.0937729	4.7963648	1
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	17	3221	16105000	16110000	nan	unknown	6.1981864	14.621388	5.5097456	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	18	3222	16110000	16115000	nan	unknown	6.1834154	13.638129	4.2796364	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	19	3223	16115000	16120000	nan	unknown	6.1385384	13.288727	3.9004741	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	20	3224	16120000	16125000	nan	unknown	6.1286783	13.250879	3.8389404	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	21	3225	16125000	16130000	nan	unknown	6.8992877	-2.8634028	6.7159777	6
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	22	3226	16130000	16135000	nan	unknown	6.1954598	14.286197	4.8274965	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	23	3227	16135000	16140000	nan	unknown	6.1497664	13.223341	3.7986672	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	24	3228	16140000	16145000	nan	unknown	6.1890702	13.958008	4.5379138	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	25	3229	16145000	16150000	nan	unknown	6.2009721	16.772991	7.623517	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	26	3230	16150000	16155000	nan	unknown	6.2009721	16.665285	7.4173136	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	27	3231	16155000	16160000	nan	unknown	6.2009721	16.706985	7.5989714	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	28	3232	16160000	16165000	nan	unknown	6.2009721	16.606169	7.7397003	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	29	3233	16165000	16170000	nan	unknown	6.2009721	16.924366	7.3834372	3
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	30	3234	16170000	16175000	nan	unknown	6.2009721	16.563847	7.5897341	3
