case_id	model	cell_line	chrom	split	cluster	node_count	start_min	end_max	mean_compartment_score	mean_embedding_norm	compartment_A	compartment_B	compartment_neutral	compartment_unknown
gm12878_intra_chr14	GM12878	GM12878	chr14	test	0	2265	21130000	106870000	0.5926292	5.595745	2168	16	0	81
gm12878_intra_chr14	GM12878	GM12878	chr14	test	1	852	16020000	106760000	-0.84504726	5.0963057	3	64	0	785
gm12878_intra_chr14	GM12878	GM12878	chr14	test	2	3863	19180000	106880000	-0.30434176	5.5447931	949	2668	0	246
gm12878_intra_chr14	GM12878	GM12878	chr14	test	3	636	20615000	106825000	0.60376289	5.5851374	593	13	0	30
gm12878_intra_chr14	GM12878	GM12878	chr14	test	4	1148	20290000	105850000	0.54911971	5.5765662	1008	75	0	65
gm12878_intra_chr14	GM12878	GM12878	chr14	test	5	518	20330000	106855000	0.44318933	5.4819424	420	67	0	31
gm12878_intra_chr14	GM12878	GM12878	chr14	test	6	4012	16100000	106860000	0.014584341	5.5744547	2045	1661	0	306
gm12878_intra_chr14	GM12878	GM12878	chr14	test	7	4878	16125000	105855000	-0.93111022	5.540076	154	4716	0	8
k562_intra_chr14	K562	K562	chr14	test	0	8528	16110000	106880000	-0.58046604	9.3489978	1354	6887	0	287
k562_intra_chr14	K562	K562	chr14	test	1	569	16020000	106110000	0.17826865	7.8266665	12	4	0	553
k562_intra_chr14	K562	K562	chr14	test	2	525	20450000	105605000	0.56554112	8.934269	490	18	0	17
k562_intra_chr14	K562	K562	chr14	test	3	766	18910000	105865000	0.47604438	9.1313129	705	37	0	24
k562_intra_chr14	K562	K562	chr14	test	4	1765	18310000	106860000	0.61951841	9.1691183	1694	21	0	50
k562_intra_chr14	K562	K562	chr14	test	5	2315	18235000	106845000	0.20450737	9.2143009	1659	490	0	166
k562_intra_chr14	K562	K562	chr14	test	6	2355	16100000	106870000	0.20703198	9.2035663	1624	540	0	191
k562_intra_chr14	K562	K562	chr14	test	7	1349	20175000	106495000	0.63996447	9.0673676	1302	3	0	44
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	0	569	20425000	106850000	0.45943386	6.8578813	448	67	0	54
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	1	7802	16100000	106840000	-0.65774542	6.9115125	1148	6431	0	223
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	2	1004	20190000	106870000	0.26813462	6.8486272	686	229	0	89
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	3	848	16020000	106760000	-0.84504726	6.1959392	3	64	0	781
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	4	2942	19785000	106830000	-0.25655956	6.8286779	889	1888	0	165
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	5	1635	19875000	106880000	0.28268276	6.7962234	1166	377	0	92
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	6	2252	16125000	106865000	0.50850605	6.8515352	2009	158	0	85
comprehensive_gm12878_chr14	Comprehensive	GM12878	chr14	test	7	1120	20310000	105865000	0.53633461	6.7865877	991	66	0	63
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	0	9499	16100000	106880000	-0.50603503	7.0460358	2007	7103	0	389
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	1	2406	18655000	106845000	0.16519055	6.927806	1646	624	0	136
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	2	1077	19370000	106695000	0.4777069	6.8752818	941	74	0	62
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	3	569	16020000	106110000	0.17826865	6.2022863	12	4	0	553
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	4	904	18910000	106230000	0.42666726	6.9404907	793	71	0	40
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	5	1908	18650000	106860000	0.59259097	6.919058	1770	45	0	93
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	6	416	20455000	105605000	0.57200369	6.9047151	394	10	0	12
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	7	1393	20275000	106505000	0.53259426	6.8901408	1277	69	0	47
