case_id	model	cell_line	chrom	split	node_id	bin	start	end	compartment_score	compartment	embedding_norm	umap_1	umap_2	cluster
gm12878_intra_chr14	GM12878	GM12878	chr14	test	0	3204	16020000	16025000	nan	unknown	5.0922503	17.034824	4.9127402	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	1	3205	16025000	16030000	nan	unknown	5.0916305	17.082205	4.9056129	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	2	3206	16030000	16035000	nan	unknown	5.0909243	17.083857	4.8564639	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	3	3207	16035000	16040000	nan	unknown	5.0996866	16.434097	5.2355275	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	4	3208	16040000	16045000	nan	unknown	5.0904698	17.307236	4.7901282	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	5	3209	16045000	16050000	nan	unknown	5.0918055	17.122396	4.8991122	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	6	3210	16050000	16055000	nan	unknown	5.0900025	17.46954	4.7782273	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	7	3211	16055000	16060000	nan	unknown	5.1068454	16.001272	5.5629277	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	8	3212	16060000	16065000	nan	unknown	5.0878019	17.776875	4.6936193	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	9	3213	16065000	16070000	nan	unknown	5.0891733	17.509674	4.7654943	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	10	3214	16070000	16075000	nan	unknown	5.09306	17.047159	4.9159818	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	11	3215	16075000	16080000	nan	unknown	5.0908132	17.159952	4.9216099	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	12	3216	16080000	16085000	nan	unknown	5.0895381	17.467573	4.7854304	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	13	3217	16085000	16090000	nan	unknown	5.0883923	17.623158	4.733809	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	14	3218	16090000	16095000	nan	unknown	5.1374307	15.838414	6.4239359	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	15	3219	16095000	16100000	nan	unknown	5.1624408	15.866878	6.5713797	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	16	3220	16100000	16105000	nan	unknown	5.6577458	-3.0623908	7.9667287	6
gm12878_intra_chr14	GM12878	GM12878	chr14	test	17	3221	16105000	16110000	nan	unknown	5.104002	16.21484	5.627748	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	18	3222	16110000	16115000	nan	unknown	5.0988936	16.437609	5.6248922	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	19	3223	16115000	16120000	nan	unknown	5.1179872	15.98037	6.5106611	1
gm12878_intra_chr14	GM12878	GM12878	chr14	test	20	3224	16120000	16125000	nan	unknown	5.1340513	15.891605	6.5526013	1
