model	encoder	prefix	source_cell_line	chrom	subgraph_index	negative_type	auc	ap	n_positive	n_negative	n	mean_score
Comprehensive	sage	test	GM12878	chr14	0	CNS	0.43478541	0.46436195	34537	34537	69074	0.5346619
Comprehensive	sage	test	GM12878	chr14	0	MNS	0.25226881	0.36016573	34537	34537	69074	0.54623017
Comprehensive	sage	test	GM12878	chr14	0	SNS	0.064735626	0.31505798	34537	34537	69074	0.58283061
Comprehensive	sage	test	GM12878	chr14	1	CNS	0.39226905	0.43987699	119336	119336	238672	0.54959014
Comprehensive	sage	test	GM12878	chr14	1	MNS	0.15107564	0.33079746	119336	119336	238672	0.57577602
Comprehensive	sage	test	GM12878	chr14	1	SNS	0.078085191	0.31507142	119336	119336	238672	0.59418468
Comprehensive	sage	test	GM12878	chr14	10	CNS	0.38797266	0.44093785	135449	135449	270898	0.55227668
Comprehensive	sage	test	GM12878	chr14	10	MNS	0.15027491	0.33045251	135449	135449	270898	0.57954326
Comprehensive	sage	test	GM12878	chr14	10	SNS	0.079278395	0.31550851	135449	135449	270898	0.59717677
Comprehensive	sage	test	GM12878	chr14	11	CNS	0.38655084	0.44016469	142011	142011	284022	0.54968109
Comprehensive	sage	test	GM12878	chr14	11	MNS	0.1467485	0.32932311	142011	142011	284022	0.57762102
Comprehensive	sage	test	GM12878	chr14	11	SNS	0.073457802	0.31461326	142011	142011	284022	0.59552228
Comprehensive	sage	test	GM12878	chr14	12	CNS	0.40438083	0.45033701	117626	117626	235252	0.5463539
Comprehensive	sage	test	GM12878	chr14	12	MNS	0.13869218	0.32688877	117626	117626	235252	0.57624646
Comprehensive	sage	test	GM12878	chr14	12	SNS	0.07635262	0.31539104	117626	117626	235252	0.5912564
Comprehensive	sage	test	GM12878	chr14	13	CNS	0.41890789	0.4552685	97129	97129	194258	0.55997197
Comprehensive	sage	test	GM12878	chr14	13	MNS	0.17741086	0.3390576	97129	97129	194258	0.58750299
Comprehensive	sage	test	GM12878	chr14	13	SNS	0.14901717	0.32985291	97129	97129	194258	0.59346152
Comprehensive	sage	test	GM12878	chr14	14	CNS	0.41203486	0.45491835	111900	111900	223800	0.54764393
Comprehensive	sage	test	GM12878	chr14	14	MNS	0.14809232	0.32925515	111900	111900	223800	0.57559446
Comprehensive	sage	test	GM12878	chr14	14	SNS	0.084348792	0.31661415	111900	111900	223800	0.59117421
Comprehensive	sage	test	GM12878	chr14	15	CNS	0.37990087	0.43823526	130603	130603	261206	0.55512474
Comprehensive	sage	test	GM12878	chr14	15	MNS	0.14976637	0.33036971	130603	130603	261206	0.5831338
Comprehensive	sage	test	GM12878	chr14	15	SNS	0.085075946	0.3162719	130603	130603	261206	0.59861428
Comprehensive	sage	test	GM12878	chr14	16	CNS	0.40009503	0.44335586	112314	112314	224628	0.5607987
Comprehensive	sage	test	GM12878	chr14	16	MNS	0.17165851	0.33788087	112314	112314	224628	0.58723581
Comprehensive	sage	test	GM12878	chr14	16	SNS	0.12548899	0.32407058	112314	112314	224628	0.59747729
Comprehensive	sage	test	GM12878	chr14	17	CNS	0.39616825	0.44646634	109891	109891	219782	0.5462047
Comprehensive	sage	test	GM12878	chr14	17	MNS	0.14674761	0.32914048	109891	109891	219782	0.57258965
Comprehensive	sage	test	GM12878	chr14	17	SNS	0.062776606	0.31305784	109891	109891	219782	0.59462423
Comprehensive	sage	test	GM12878	chr14	18	CNS	0.39262336	0.4457902	105259	105259	210518	0.54865051
Comprehensive	sage	test	GM12878	chr14	18	MNS	0.14917447	0.32980091	105259	105259	210518	0.57634093
Comprehensive	sage	test	GM12878	chr14	18	SNS	0.068358098	0.31381046	105259	105259	210518	0.59601424
Comprehensive	sage	test	GM12878	chr14	2	CNS	0.42550148	0.46027353	95633	95633	191266	0.55020816
Comprehensive	sage	test	GM12878	chr14	2	MNS	0.15858646	0.33220837	95633	95633	191266	0.57962688
Comprehensive	sage	test	GM12878	chr14	2	SNS	0.11444038	0.32178449	95633	95633	191266	0.58918169
Comprehensive	sage	test	GM12878	chr14	3	CNS	0.39141076	0.43797198	129606	129606	259212	0.55658894
Comprehensive	sage	test	GM12878	chr14	3	MNS	0.16279941	0.33485212	129606	129606	259212	0.58375691
Comprehensive	sage	test	GM12878	chr14	3	SNS	0.10650326	0.32039908	129606	129606	259212	0.59584385
Comprehensive	sage	test	GM12878	chr14	4	CNS	0.41981998	0.45795524	105529	105529	211058	0.54815779
Comprehensive	sage	test	GM12878	chr14	4	MNS	0.15535841	0.33167649	105529	105529	211058	0.57683144
Comprehensive	sage	test	GM12878	chr14	4	SNS	0.10013652	0.31903609	105529	105529	211058	0.58958323
Comprehensive	sage	test	GM12878	chr14	5	CNS	0.41734243	0.4547465	95864	95864	191728	0.55951868
Comprehensive	sage	test	GM12878	chr14	5	MNS	0.18445052	0.34133988	95864	95864	191728	0.5854883
