case_id	model	cell_line	chrom	split	node_id	bin	start	end	compartment_score	compartment	embedding_norm	umap_1	umap_2	cluster
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	0	3204	16020000	16025000	nan	unknown	6.2064748	21.086258	5.9692011	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	1	3205	16025000	16030000	nan	unknown	6.209383	20.740278	5.9074583	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	2	3206	16030000	16035000	nan	unknown	6.2096019	20.734602	5.9070344	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	3	3207	16035000	16040000	nan	unknown	6.212975	20.649328	5.8906617	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	4	3208	16040000	16045000	nan	unknown	6.2040019	21.57403	6.0506864	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	5	3209	16045000	16050000	nan	unknown	6.2057524	20.945084	5.9404221	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	6	3210	16050000	16055000	nan	unknown	6.2034345	21.406961	6.0205216	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	7	3211	16055000	16060000	nan	unknown	6.2111211	20.696972	5.9023275	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	8	3212	16060000	16065000	nan	unknown	6.2046313	21.081341	5.9656444	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	9	3213	16065000	16070000	nan	unknown	6.2022147	21.786098	6.0853114	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	10	3214	16070000	16075000	nan	unknown	6.2009721	22.518082	6.1069126	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	11	3215	16075000	16080000	nan	unknown	6.2022934	21.974228	6.1547618	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	12	3216	16080000	16085000	nan	unknown	6.2021728	21.850647	6.1087475	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	13	3217	16085000	16090000	nan	unknown	6.2009721	22.449476	6.5468612	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	14	3218	16090000	16095000	nan	unknown	6.2036338	21.581141	6.0934577	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	15	3219	16095000	16100000	nan	unknown	6.1500483	21.142988	5.9956846	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	16	3220	16100000	16105000	nan	unknown	6.8756404	2.9486995	2.3988602	0
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	17	3221	16105000	16110000	nan	unknown	6.2098193	21.087141	5.9796572	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	18	3222	16110000	16115000	nan	unknown	7.1233387	5.0570126	6.3843775	0
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	19	3223	16115000	16120000	nan	unknown	7.11866	5.1265984	6.4248114	0
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	20	3224	16120000	16125000	nan	unknown	7.0450435	7.3683033	8.5865631	0
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	21	3225	16125000	16130000	nan	unknown	7.0903282	7.4619541	7.3655496	0
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	22	3226	16130000	16135000	nan	unknown	6.2053733	21.310223	6.0196872	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	23	3227	16135000	16140000	nan	unknown	7.0798445	5.0031314	6.4466639	0
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	24	3228	16140000	16145000	nan	unknown	6.2084332	21.153593	5.9886751	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	25	3229	16145000	16150000	nan	unknown	6.2009721	22.591913	6.2608318	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	26	3230	16150000	16155000	nan	unknown	6.2009721	22.569344	6.3857861	3
comprehensive_k562_chr14	Comprehensive	K562	chr14	test	27	3231	16155000	16160000	nan	unknown	6.2009721	22.5522	6.273335	3
