image_name,pixel_coords
chr_10_1,"(181, 196)"
chr_10_1,"(136, 195)"
chr_10_1,"(28, 131)"
chr_10_2,"(83, 196)"
chr_10_2,"(38, 97)"
chr_10_2,"(0, 33)"
chr_10_2,"(161, 177)"
chr_10_3,"(122, 196)"
chr_10_3,"(162, 196)"
chr_10_3,"(0, 111)"
chr_10_3,"(111, 122)"
chr_10_3,"(63, 79)"
chr_10_4,"(182, 196)"
chr_10_4,"(24, 116)"
chr_10_4,"(64, 120)"
chr_10_4,"(178, 196)"
chr_10_4,"(0, 13)"
chr_10_4,"(178, 196)"
chr_10_4,"(13, 24)"
chr_10_4,"(100, 128)"
chr_10_4,"(106, 120)"
chr_10_5,"(171, 196)"
chr_10_5,"(188, 196)"
chr_10_5,"(171, 196)"
chr_10_5,"(84, 171)"
chr_10_5,"(0, 18)"
chr_10_5,"(171, 196)"
chr_10_5,"(171, 196)"
chr_10_5,"(0, 22)"
chr_10_5,"(80, 171)"
chr_10_5,"(171, 196)"
chr_10_5,"(80, 129)"
chr_10_5,"(171, 196)"
chr_10_5,"(2, 30)"
chr_10_5,"(8, 22)"
chr_10_6,"(73, 119)"
chr_10_6,"(90, 151)"
chr_10_6,"(73, 151)"
chr_10_6,"(0, 73)"
chr_10_6,"(119, 151)"
chr_10_6,"(119, 131)"
chr_10_6,"(73, 164)"
chr_10_6,"(73, 99)"
chr_10_6,"(99, 151)"
chr_10_6,"(0, 73)"
chr_10_6,"(73, 107)"
chr_10_6,"(0, 31)"
chr_10_6,"(99, 119)"
chr_10_6,"(73, 131)"
chr_10_6,"(193, 196)"
chr_10_6,"(107, 179)"
chr_10_6,"(193, 196)"
chr_10_7,"(0, 21)"
chr_10_7,"(0, 53)"
chr_10_7,"(126, 165)"
chr_10_7,"(0, 53)"
chr_10_7,"(153, 165)"
chr_10_7,"(21, 53)"
chr_10_7,"(21, 33)"
chr_10_7,"(0, 66)"
chr_10_7,"(0, 1)"
chr_10_7,"(1, 53)"
chr_10_7,"(0, 9)"
chr_10_7,"(1, 21)"
chr_10_7,"(0, 33)"
chr_10_7,"(95, 126)"
chr_10_7,"(9, 81)"
chr_10_7,"(95, 165)"
chr_10_8,"(28, 67)"
chr_10_8,"(55, 67)"
chr_10_8,"(0, 28)"
chr_10_8,"(0, 67)"
chr_10_10,"(136, 196)"
chr_10_11,"(171, 196)"
chr_10_11,"(171, 196)"
chr_10_11,"(152, 196)"
chr_10_11,"(171, 196)"
chr_10_11,"(117, 149)"
chr_10_11,"(38, 111)"
chr_10_11,"(171, 196)"
chr_10_11,"(117, 152)"
chr_10_11,"(117, 171)"
chr_10_12,"(140, 196)"
chr_10_12,"(147, 196)"
chr_10_12,"(140, 194)"
chr_10_12,"(135, 196)"
chr_10_12,"(73, 196)"
chr_10_12,"(73, 196)"
chr_10_12,"(98, 196)"
chr_10_12,"(54, 98)"
chr_10_12,"(73, 173)"
chr_10_12,"(135, 196)"
chr_10_12,"(147, 196)"
chr_10_12,"(147, 196)"
chr_10_12,"(19, 51)"
chr_10_12,"(0, 13)"
chr_10_12,"(147, 196)"
chr_10_12,"(98, 147)"
chr_10_12,"(112, 147)"
chr_10_12,"(190, 196)"
chr_10_12,"(190, 196)"
chr_10_12,"(135, 147)"
chr_10_12,"(73, 98)"
chr_10_12,"(194, 196)"
chr_10_12,"(19, 54)"
chr_10_12,"(112, 140)"
chr_10_12,"(135, 196)"
chr_10_12,"(19, 73)"
chr_10_12,"(190, 196)"
chr_10_13,"(42, 159)"
chr_10_13,"(49, 159)"
chr_10_13,"(42, 96)"
chr_10_13,"(178, 196)"
chr_10_13,"(37, 159)"
chr_10_13,"(0, 104)"
chr_10_13,"(0, 121)"
chr_10_13,"(0, 104)"
chr_10_13,"(159, 196)"
chr_10_13,"(178, 196)"
chr_10_13,"(0, 75)"
chr_10_13,"(159, 196)"
chr_10_13,"(37, 116)"
chr_10_13,"(49, 121)"
chr_10_13,"(49, 107)"
chr_10_13,"(178, 196)"
chr_10_13,"(49, 104)"
chr_10_13,"(0, 49)"
chr_10_13,"(14, 49)"
chr_10_13,"(92, 116)"
chr_10_13,"(92, 132)"
chr_10_13,"(37, 49)"
chr_10_13,"(140, 196)"
chr_10_13,"(132, 159)"
chr_10_13,"(140, 159)"
chr_10_13,"(96, 132)"
chr_10_13,"(178, 196)"
chr_10_13,"(14, 42)"
chr_10_13,"(37, 104)"
chr_10_13,"(92, 140)"
chr_10_14,"(173, 196)"
chr_10_14,"(0, 61)"
chr_10_14,"(173, 196)"
chr_10_14,"(0, 61)"
chr_10_14,"(145, 196)"
chr_10_14,"(80, 196)"
chr_10_14,"(173, 196)"
chr_10_14,"(0, 61)"
chr_10_14,"(0, 6)"
chr_10_14,"(145, 173)"
chr_10_14,"(0, 23)"
chr_10_14,"(0, 6)"
chr_10_14,"(61, 196)"
chr_10_14,"(159, 196)"
chr_10_14,"(173, 196)"
chr_10_14,"(80, 145)"
chr_10_14,"(61, 145)"
chr_10_14,"(0, 18)"
chr_10_14,"(104, 138)"
chr_10_14,"(0, 23)"
chr_10_14,"(0, 9)"
chr_10_14,"(80, 104)"
chr_10_14,"(104, 145)"
chr_10_14,"(0, 6)"
chr_10_14,"(104, 155)"
chr_10_14,"(0, 18)"
chr_10_14,"(173, 196)"
chr_10_14,"(0, 34)"
chr_10_14,"(42, 196)"
chr_10_14,"(34, 61)"
chr_10_14,"(42, 61)"
chr_10_14,"(0, 34)"
chr_10_14,"(80, 110)"
chr_10_14,"(0, 6)"
chr_10_14,"(145, 196)"
chr_10_14,"(0, 42)"
chr_10_15,"(75, 176)"
chr_10_15,"(75, 126)"
chr_10_15,"(47, 126)"
chr_10_15,"(0, 112)"
chr_10_15,"(75, 112)"
chr_10_15,"(47, 75)"
chr_10_15,"(0, 104)"
chr_10_15,"(61, 112)"
chr_10_15,"(75, 154)"
chr_10_15,"(0, 47)"
chr_10_15,"(0, 47)"
chr_10_15,"(6, 40)"
chr_10_15,"(171, 196)"
chr_10_15,"(0, 6)"
chr_10_15,"(112, 145)"
chr_10_15,"(6, 47)"
chr_10_15,"(112, 126)"
chr_10_15,"(6, 57)"
chr_10_15,"(193, 196)"
chr_10_15,"(179, 196)"
chr_10_15,"(75, 145)"
chr_10_15,"(0, 112)"
chr_10_15,"(145, 196)"
chr_10_15,"(0, 12)"
chr_10_15,"(47, 179)"
chr_10_15,"(160, 196)"
chr_10_16,"(0, 78)"
chr_10_16,"(117, 196)"
chr_10_16,"(0, 28)"
chr_10_16,"(0, 28)"
chr_10_16,"(0, 14)"
chr_10_16,"(0, 14)"
chr_10_16,"(0, 6)"
chr_10_16,"(0, 14)"
chr_10_16,"(0, 56)"
chr_10_16,"(159, 196)"
chr_10_16,"(159, 196)"
chr_10_16,"(117, 196)"
chr_10_16,"(98, 195)"
chr_10_16,"(73, 105)"
chr_10_16,"(14, 47)"
chr_10_16,"(132, 196)"
chr_10_16,"(117, 159)"
chr_10_16,"(14, 28)"
chr_10_16,"(95, 195)"
chr_10_16,"(81, 117)"
chr_10_16,"(0, 47)"
chr_10_16,"(0, 14)"
chr_10_16,"(47, 196)"
chr_10_16,"(0, 81)"
chr_10_16,"(62, 105)"
chr_10_16,"(117, 196)"
chr_10_17,"(19, 116)"
chr_10_17,"(170, 196)"
chr_10_17,"(109, 160)"
chr_10_17,"(106, 160)"
chr_10_17,"(61, 160)"
chr_10_17,"(61, 116)"
chr_10_17,"(19, 122)"
chr_10_17,"(0, 97)"
chr_10_17,"(0, 7)"
chr_10_17,"(34, 116)"
chr_10_17,"(129, 160)"
chr_10_17,"(19, 61)"
chr_10_17,"(0, 97)"
chr_10_17,"(122, 160)"
chr_10_17,"(0, 19)"
chr_10_17,"(0, 116)"
chr_10_17,"(173, 196)"
chr_10_17,"(109, 170)"
chr_10_17,"(109, 193)"
chr_10_17,"(170, 196)"
chr_10_17,"(193, 196)"
chr_10_17,"(0, 7)"
chr_10_17,"(170, 196)"
chr_10_17,"(19, 139)"
chr_10_18,"(0, 18)"
chr_10_18,"(72, 161)"
chr_10_18,"(11, 62)"
chr_10_18,"(8, 62)"
chr_10_18,"(107, 119)"
chr_10_18,"(0, 62)"
chr_10_18,"(0, 18)"
chr_10_18,"(0, 24)"
chr_10_18,"(161, 196)"
chr_10_18,"(0, 18)"
chr_10_18,"(31, 62)"
chr_10_18,"(155, 196)"
chr_10_18,"(24, 62)"
chr_10_18,"(0, 18)"
chr_10_18,"(75, 119)"
chr_10_18,"(114, 196)"
chr_10_18,"(11, 72)"
chr_10_18,"(161, 196)"
chr_10_18,"(11, 95)"
chr_10_18,"(72, 119)"
chr_10_18,"(114, 161)"
chr_10_18,"(95, 196)"
chr_10_18,"(155, 196)"
chr_10_18,"(72, 123)"
chr_10_18,"(0, 41)"
chr_10_19,"(0, 63)"
chr_10_19,"(9, 21)"
chr_10_19,"(63, 104)"
chr_10_19,"(57, 104)"
chr_10_19,"(0, 21)"
chr_10_19,"(16, 104)"
chr_10_19,"(63, 109)"
chr_10_19,"(0, 21)"
chr_10_19,"(16, 63)"
chr_10_19,"(0, 123)"
chr_10_19,"(57, 109)"
chr_10_19,"(0, 25)"
chr_10_20,"(0, 6)"
chr_10_20,"(0, 6)"
chr_10_20,"(0, 6)"
chr_10_20,"(0, 11)"
chr_10_20,"(116, 152)"
chr_10_20,"(116, 157)"
chr_10_20,"(0, 25)"
chr_10_20,"(0, 11)"
chr_10_21,"(189, 196)"
chr_10_21,"(126, 143)"
chr_10_21,"(126, 151)"
chr_10_21,"(126, 196)"
chr_10_21,"(18, 54)"
chr_10_21,"(18, 59)"
chr_10_22,"(140, 196)"
chr_10_22,"(140, 196)"
chr_10_22,"(91, 140)"
chr_10_22,"(165, 196)"
chr_10_22,"(140, 174)"
chr_10_22,"(115, 140)"
chr_10_22,"(140, 196)"
chr_10_22,"(165, 196)"
chr_10_22,"(28, 45)"
chr_10_22,"(28, 53)"
chr_10_22,"(28, 174)"
chr_10_22,"(140, 196)"
chr_10_23,"(42, 143)"
chr_10_23,"(173, 196)"
chr_10_23,"(173, 196)"
chr_10_23,"(152, 196)"
chr_10_23,"(98, 161)"
chr_10_23,"(42, 196)"
chr_10_23,"(0, 42)"
chr_10_23,"(98, 143)"
chr_10_23,"(67, 152)"
chr_10_23,"(98, 152)"
chr_10_23,"(152, 196)"
chr_10_23,"(173, 196)"
chr_10_23,"(42, 76)"
chr_10_23,"(152, 196)"
chr_10_23,"(17, 42)"
chr_10_23,"(42, 173)"
chr_10_23,"(67, 143)"
chr_10_23,"(101, 118)"
chr_10_23,"(0, 76)"
chr_10_23,"(42, 101)"
chr_10_23,"(152, 196)"
chr_10_23,"(101, 143)"
chr_10_23,"(98, 118)"
chr_10_23,"(152, 196)"
chr_10_23,"(152, 196)"
chr_10_23,"(173, 196)"
chr_10_23,"(173, 196)"
chr_10_23,"(152, 196)"
chr_10_23,"(173, 196)"
chr_10_24,"(0, 45)"
chr_10_24,"(75, 196)"
chr_10_24,"(75, 196)"
chr_10_24,"(54, 196)"
chr_10_24,"(0, 63)"
chr_10_24,"(164, 196)"
chr_10_24,"(0, 100)"
chr_10_24,"(0, 45)"
chr_10_24,"(0, 54)"
chr_10_24,"(164, 196)"
chr_10_24,"(0, 54)"
chr_10_24,"(164, 196)"
chr_10_24,"(134, 196)"
chr_10_24,"(164, 196)"
chr_10_24,"(54, 178)"
chr_10_24,"(75, 116)"
chr_10_24,"(54, 116)"
chr_10_24,"(0, 75)"
chr_10_24,"(0, 45)"
chr_10_24,"(108, 196)"
chr_10_24,"(3, 20)"
chr_10_24,"(182, 196)"
chr_10_24,"(164, 182)"
chr_10_24,"(0, 3)"
chr_10_24,"(54, 123)"
chr_10_24,"(3, 45)"
chr_10_24,"(0, 20)"
chr_10_24,"(54, 182)"
chr_10_24,"(54, 100)"
chr_10_24,"(75, 108)"
chr_10_24,"(75, 100)"
chr_10_24,"(116, 196)"
chr_10_24,"(54, 104)"
chr_10_24,"(75, 196)"
chr_10_24,"(182, 196)"
chr_10_25,"(0, 108)"
chr_10_25,"(0, 103)"
chr_10_25,"(108, 157)"
chr_10_25,"(0, 108)"
chr_10_25,"(66, 160)"
chr_10_25,"(103, 160)"
chr_10_25,"(0, 2)"
chr_10_25,"(66, 103)"
chr_10_25,"(66, 157)"
chr_10_25,"(36, 103)"
chr_10_25,"(66, 108)"
chr_10_25,"(0, 80)"
chr_10_25,"(0, 18)"
chr_10_25,"(0, 18)"
chr_10_25,"(103, 171)"
chr_10_25,"(10, 166)"
chr_10_25,"(84, 157)"
chr_10_25,"(108, 150)"
chr_10_25,"(66, 84)"
chr_10_25,"(0, 25)"
chr_10_25,"(103, 157)"
chr_10_25,"(0, 84)"
chr_10_25,"(0, 2)"
chr_10_25,"(0, 10)"
chr_10_25,"(157, 171)"
chr_10_25,"(0, 2)"
chr_10_25,"(160, 171)"
chr_10_25,"(18, 166)"
chr_10_25,"(0, 6)"
chr_10_25,"(0, 121)"
chr_10_25,"(84, 160)"
chr_10_26,"(0, 10)"
chr_10_26,"(0, 5)"
chr_10_26,"(10, 59)"
chr_10_26,"(0, 10)"
chr_10_26,"(177, 196)"
