case_id	model	cell_line	chrom	split	node_id	bin	start	end	compartment_score	compartment	embedding_norm	umap_1	umap_2	cluster
k562_intra_chr14	K562	K562	chr14	test	0	3204	16020000	16025000	nan	unknown	7.8453522	19.762363	5.7483692	1
k562_intra_chr14	K562	K562	chr14	test	1	3205	16025000	16030000	nan	unknown	7.8469467	19.531672	5.6483393	1
k562_intra_chr14	K562	K562	chr14	test	2	3206	16030000	16035000	nan	unknown	7.8478942	19.529179	5.6494164	1
k562_intra_chr14	K562	K562	chr14	test	3	3207	16035000	16040000	nan	unknown	7.8596034	19.295961	5.5565157	1
k562_intra_chr14	K562	K562	chr14	test	4	3208	16040000	16045000	nan	unknown	7.8348994	19.936321	5.8219466	1
k562_intra_chr14	K562	K562	chr14	test	5	3209	16045000	16050000	nan	unknown	7.8363981	19.819302	5.7718954	1
k562_intra_chr14	K562	K562	chr14	test	6	3210	16050000	16055000	nan	unknown	7.829474	20.117561	5.9010777	1
k562_intra_chr14	K562	K562	chr14	test	7	3211	16055000	16060000	nan	unknown	7.8574815	19.276613	5.5427308	1
k562_intra_chr14	K562	K562	chr14	test	8	3212	16060000	16065000	nan	unknown	7.8329515	19.979893	5.8383164	1
k562_intra_chr14	K562	K562	chr14	test	9	3213	16065000	16070000	nan	unknown	7.8259377	20.363852	6.0005836	1
k562_intra_chr14	K562	K562	chr14	test	10	3214	16070000	16075000	nan	unknown	7.8223433	21.613817	6.5787292	1
k562_intra_chr14	K562	K562	chr14	test	11	3215	16075000	16080000	nan	unknown	7.8282757	20.154547	5.9280782	1
k562_intra_chr14	K562	K562	chr14	test	12	3216	16080000	16085000	nan	unknown	7.8260083	20.465204	6.0481834	1
k562_intra_chr14	K562	K562	chr14	test	13	3217	16085000	16090000	nan	unknown	7.8223433	21.639381	6.2055879	1
k562_intra_chr14	K562	K562	chr14	test	14	3218	16090000	16095000	nan	unknown	7.8490386	20.103603	5.9227848	1
k562_intra_chr14	K562	K562	chr14	test	15	3219	16095000	16100000	nan	unknown	7.6735287	20.117188	5.9295859	1
k562_intra_chr14	K562	K562	chr14	test	16	3220	16100000	16105000	nan	unknown	9.0277624	3.898397	2.9873466	6
k562_intra_chr14	K562	K562	chr14	test	17	3221	16105000	16110000	nan	unknown	7.8498363	19.910282	5.8164968	1
k562_intra_chr14	K562	K562	chr14	test	18	3222	16110000	16115000	nan	unknown	9.3141432	1.2500778	4.1301613	0
k562_intra_chr14	K562	K562	chr14	test	19	3223	16115000	16120000	nan	unknown	9.3370094	1.0281167	4.0354257	0
k562_intra_chr14	K562	K562	chr14	test	20	3224	16120000	16125000	nan	unknown	9.2430983	1.9355308	4.4371672	0
k562_intra_chr14	K562	K562	chr14	test	21	3225	16125000	16130000	nan	unknown	9.310174	0.40209287	2.9499416	0
k562_intra_chr14	K562	K562	chr14	test	22	3226	16130000	16135000	nan	unknown	7.8341055	20.024464	5.8713346	1
k562_intra_chr14	K562	K562	chr14	test	23	3227	16135000	16140000	nan	unknown	9.3511267	1.1158696	4.3404932	0
k562_intra_chr14	K562	K562	chr14	test	24	3228	16140000	16145000	nan	unknown	7.8407712	19.969208	5.841424	1
k562_intra_chr14	K562	K562	chr14	test	25	3229	16145000	16150000	nan	unknown	7.8223433	21.638651	6.313313	1
k562_intra_chr14	K562	K562	chr14	test	26	3230	16150000	16155000	nan	unknown	7.8223433	21.385448	6.292244	1
k562_intra_chr14	K562	K562	chr14	test	27	3231	16155000	16160000	nan	unknown	7.8223433	21.526949	6.4704103	1
k562_intra_chr14	K562	K562	chr14	test	28	3232	16160000	16165000	nan	unknown	7.8223433	21.102114	6.549593	1
k562_intra_chr14	K562	K562	chr14	test	29	3233	16165000	16170000	nan	unknown	7.8223433	21.466518	6.5763044	1
k562_intra_chr14	K562	K562	chr14	test	30	3234	16170000	16175000	nan	unknown	7.8223433	21.054775	6.4771185	1
k562_intra_chr14	K562	K562	chr14	test	31	3235	16175000	16180000	nan	unknown	7.8223433	21.173931	6.560009	1
k562_intra_chr14	K562	K562	chr14	test	32	3236	16180000	16185000	nan	unknown	7.8223433	21.346493	6.3029656	1
k562_intra_chr14	K562	K562	chr14	test	33	3237	16185000	16190000	nan	unknown	7.8223433	21.486691	6.6053443	1
k562_intra_chr14	K562	K562	chr14	test	34	3238	16190000	16195000	nan	unknown	7.8223433	21.127789	6.5727587	1
k562_intra_chr14	K562	K562	chr14	test	35	3239	16195000	16200000	nan	unknown	7.8223433	21.169088	6.6064115	1
k562_intra_chr14	K562	K562	chr14	test	36	3240	16200000	16205000	nan	unknown	7.8223433	21.252037	6.743382	1
k562_intra_chr14	K562	K562	chr14	test	37	3241	16205000	16210000	nan	unknown	7.8223433	21.127186	6.7160335	1
k562_intra_chr14	K562	K562	chr14	test	38	3242	16210000	16215000	nan	unknown	7.8223433	21.643957	6.5809073	1
k562_intra_chr14	K562	K562	chr14	test	39	3243	16215000	16220000	nan	unknown	7.8223433	21.2682	6.6901932	1
k562_intra_chr14	K562	K562	chr14	test	40	3244	16220000	16225000	nan	unknown	7.8223433	21.461294	6.4551225	1
k562_intra_chr14	K562	K562	chr14	test	41	3245	16225000	16230000	nan	unknown	7.8223433	21.46113	6.5413079	1
k562_intra_chr14	K562	K562	chr14	test	42	3246	16230000	16235000	nan	unknown	7.8223433	21.30183	6.4745426	1
k562_intra_chr14	K562	K562	chr14	test	43	3247	16235000	16240000	nan	unknown	7.8223433	21.531387	6.4448953	1
k562_intra_chr14	K562	K562	chr14	test	44	3248	16240000	16245000	nan	unknown	7.8223433	21.379618	6.4679346	1
k562_intra_chr14	K562	K562	chr14	test	45	3249	16245000	16250000	nan	unknown	7.8223433	20.946878	6.3451834	1
k562_intra_chr14	K562	K562	chr14	test	46	3250	16250000	16255000	nan	unknown	7.8223433	21.514902	6.5673776	1
k562_intra_chr14	K562	K562	chr14	test	47	3251	16255000	16260000	nan	unknown	7.8223433	21.605074	6.6193786	1
k562_intra_chr14	K562	K562	chr14	test	48	3252	16260000	16265000	nan	unknown	7.8223433	21.420826	6.6684065	1
k562_intra_chr14	K562	K562	chr14	test	49	3253	16265000	16270000	nan	unknown	7.8223433	21.390232	6.4474058	1
k562_intra_chr14	K562	K562	chr14	test	50	3254	16270000	16275000	nan	unknown	7.8223433	21.598158	6.6223316	1
k562_intra_chr14	K562	K562	chr14	test	51	3255	16275000	16280000	nan	unknown	7.8223433	21.469765	6.5783744	1
k562_intra_chr14	K562	K562	chr14	test	52	3256	16280000	16285000	nan	unknown	7.8223433	21.396229	6.5067959	1
k562_intra_chr14	K562	K562	chr14	test	53	3257	16285000	16290000	nan	unknown	7.8223433	21.546432	6.8090553	1
k562_intra_chr14	K562	K562	chr14	test	54	3258	16290000	16295000	nan	unknown	7.8223433	21.539631	6.4687705	1
k562_intra_chr14	K562	K562	chr14	test	55	3259	16295000	16300000	nan	unknown	7.8223433	21.2356	6.3633428	1
k562_intra_chr14	K562	K562	chr14	test	56	3260	16300000	16305000	nan	unknown	7.8223433	21.647057	6.5938978	1
k562_intra_chr14	K562	K562	chr14	test	57	3261	16305000	16310000	nan	unknown	7.8223433	21.517076	6.6737056	1
k562_intra_chr14	K562	K562	chr14	test	58	3262	16310000	16315000	nan	unknown	7.8223433	21.57756	6.4015956	1
k562_intra_chr14	K562	K562	chr14	test	59	3263	16315000	16320000	nan	unknown	7.8223433	21.422827	6.6268034	1
k562_intra_chr14	K562	K562	chr14	test	60	3264	16320000	16325000	nan	unknown	7.8223433	21.294344	6.4877796	1
k562_intra_chr14	K562	K562	chr14	test	61	3265	16325000	16330000	nan	unknown	7.8223433	21.373346	6.5823445	1
k562_intra_chr14	K562	K562	chr14	test	62	3266	16330000	16335000	nan	unknown	7.8223433	21.360598	6.4648809	1
k562_intra_chr14	K562	K562	chr14	test	63	3267	16335000	16340000	nan	unknown	7.8223433	21.588654	6.6525483	1
k562_intra_chr14	K562	K562	chr14	test	64	3268	16340000	16345000	nan	unknown	7.8223433	21.13142	6.5868721	1
k562_intra_chr14	K562	K562	chr14	test	65	3269	16345000	16350000	nan	unknown	7.8223433	21.443466	6.5539827	1
k562_intra_chr14	K562	K562	chr14	test	66	3270	16350000	16355000	nan	unknown	7.8223433	21.625164	6.5291824	1
k562_intra_chr14	K562	K562	chr14	test	67	3271	16355000	16360000	nan	unknown	7.8223433	21.424622	6.7143674	1
k562_intra_chr14	K562	K562	chr14	test	68	3272	16360000	16365000	nan	unknown	7.8223433	21.389702	6.3118777	1
k562_intra_chr14	K562	K562	chr14	test	69	3273	16365000	16370000	nan	unknown	7.8223433	21.28916	6.4634385	1
k562_intra_chr14	K562	K562	chr14	test	70	3274	16370000	16375000	nan	unknown	7.8223433	21.092861	6.5213618	1
k562_intra_chr14	K562	K562	chr14	test	71	3275	16375000	16380000	nan	unknown	7.8223433	21.352684	6.481246	1
k562_intra_chr14	K562	K562	chr14	test	72	3276	16380000	16385000	nan	unknown	7.8223433	21.147802	6.5940328	1
k562_intra_chr14	K562	K562	chr14	test	73	3277	16385000	16390000	nan	unknown	7.8223433	21.249435	6.4112039	1
k562_intra_chr14	K562	K562	chr14	test	74	3278	16390000	16395000	nan	unknown	7.8223433	21.547779	6.4899693	1
