model	encoder	prefix	source_cell_line	chrom	negative_type	auc	ap	n_positive	n_negative	n	mean_score
Comprehensive	sage	test	GM12878	chr14	CNS	0.40148468	0.44673448	2130736	2130736	4261472	0.55127216
Comprehensive	sage	test	GM12878	chr14	MNS	0.15721272	0.33210343	2130736	2130736	4261472	0.57878214
Comprehensive	sage	test	GM12878	chr14	SNS	0.091834448	0.31752204	2130736	2130736	4261472	0.59381893
Comprehensive	sage	test	GM12878	chr22	CNS	0.39105752	0.44247857	954964	954964	1909928	0.55241929
Comprehensive	sage	test	GM12878	chr22	MNS	0.1502988	0.33029497	954964	954964	1909928	0.58059751
Comprehensive	sage	test	GM12878	chr22	SNS	0.082782526	0.31599439	954964	954964	1909928	0.59690673
Comprehensive	sage	test	GM12878	chrX	CNS	0.43615394	0.46641764	2390643	2390643	4781286	0.55283453
Comprehensive	sage	test	GM12878	chrX	MNS	0.16755908	0.3353177	2390643	2390643	4781286	0.58137999
Comprehensive	sage	test	GM12878	chrX	SNS	0.11460159	0.32174207	2390643	2390643	4781286	0.5927141
Comprehensive	sage	test	K562	chr14	CNS	0.44688256	0.47502925	1042351	1042351	2084702	0.55963484
Comprehensive	sage	test	K562	chr14	MNS	0.17424743	0.33676501	1042351	1042351	2084702	0.58914673
Comprehensive	sage	test	K562	chr14	SNS	0.10983335	0.32086769	1042351	1042351	2084702	0.6030748
Comprehensive	sage	test	K562	chr22	CNS	0.39219459	0.44227478	806470	806470	1612940	0.56076611
Comprehensive	sage	test	K562	chr22	MNS	0.17816321	0.33729962	806470	806470	1612940	0.58468951
Comprehensive	sage	test	K562	chr22	SNS	0.085007409	0.31657708	806470	806470	1612940	0.60526075
Comprehensive	sage	test	K562	chrX	CNS	0.45236002	0.47757336	1554244	1554244	3108488	0.5623714
Comprehensive	sage	test	K562	chrX	MNS	0.18371837	0.34042956	1554244	1554244	3108488	0.59170747
Comprehensive	sage	test	K562	chrX	SNS	0.13453698	0.32603908	1554244	1554244	3108488	0.60196895
Comprehensive	sage	valid	GM12878	chr13	CNS	0.40814355	0.45032099	2138918	2138918	4277836	0.55260756
Comprehensive	sage	valid	GM12878	chr13	MNS	0.16237967	0.33380629	2138918	2138918	4277836	0.58010703
Comprehensive	sage	valid	GM12878	chr13	SNS	0.10532076	0.31996457	2138918	2138918	4277836	0.59273266
Comprehensive	sage	valid	GM12878	chr15	CNS	0.40051721	0.44717247	1888914	1888914	3777828	0.55007163
Comprehensive	sage	valid	GM12878	chr15	MNS	0.15243435	0.33071005	1888914	1888914	3777828	0.57771607
Comprehensive	sage	valid	GM12878	chr15	SNS	0.082806001	0.31603079	1888914	1888914	3777828	0.59432469
Comprehensive	sage	valid	K562	chr13	CNS	0.44318256	0.47201679	1120886	1120886	2241772	0.56014475
Comprehensive	sage	valid	K562	chr13	MNS	0.18727863	0.34073326	1120886	1120886	2241772	0.58870101
